,y,starter,age,max_pts,last_pts,2_yr_trail_avg_fppg,Draft Pick,breakout_age,games_played_rate,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD
17,270.9596,1,30.2,284.8,281.12,16.685000000000002,2.04,20.4,0.9821428571428571,16,16,348,517,67.3,4103,27,5.2,9,1.7,193,85,7.9,8.2,11.8,256.4,101.4,64.3,26,150,4.8,7.28,7.53,3.0,5.0
18,53.88,0,23.6,196.3195,196.3195,14.650749999999999,2.1,18.8,0.5625,13,13,254,443,57.3,2933,16,3.6,15,3.4,145,92,6.6,5.8,11.5,225.6,75.4,41.2,19,123,4.1,6.08,5.31,1.0,1.0
19,7.76,0,29.9,15.52,15.52,7.71,6.38,22.1,0.14583333333333334,1,1,21,38,55.3,243,1,2.6,1,2.6,10,32,6.4,5.7,11.6,243.0,72.6,56.8,2,23,5.0,5.5,4.88,,
20,320.9595,1,22.8,113.4405,113.4405,7.5627,2.21,18.1,0.9375,15,4,77,148,52.0,1061,6,4.1,4,2.7,45,81,7.2,6.8,13.8,70.7,77.6,33.8,13,59,8.1,6.22,5.85,,
21,120.4,1,27.4,328.0,2.4,10.55,1.01,19.7,0.7916666666666666,4,0,7,11,63.6,75,0,0.0,0,0.0,5,19,6.8,6.8,10.7,18.8,83.5,12.0,2,11,15.4,4.92,4.92,,
22,202.5002,1,26.6,318.4,252.9795,16.682650000000002,1.01,18.9,0.8625,15,15,370,552,67.0,3952,20,3.6,13,2.4,194,56,7.2,6.8,10.7,263.5,90.0,50.8,23,161,4.0,6.59,6.27,0.0,1.0
23,0.0,0,28.1,84.8,32.0799,15.54665,6.32,18.4,0.2916666666666667,3,1,35,64,54.7,432,3,4.7,2,3.1,18,45,6.8,6.3,12.3,144.0,78.4,36.1,11,98,14.7,4.45,4.05,,
24,239.5005,1,29.6,256.0,69.3402,13.77835,2.3,19.8,0.4107142857142857,6,6,94,140,67.1,1096,7,5.0,5,3.6,55,76,7.8,7.2,11.7,182.7,92.4,54.0,11,77,7.3,6.75,6.19,,
25,328.24,1,24.5,178.72,178.72,17.872,1.01,21.7,0.625,10,10,264,404,65.3,2688,13,3.2,5,1.2,150,67,6.7,6.7,10.2,268.8,89.8,48.5,32,231,7.3,5.64,5.72,,
26,23.82,0,36.4,275.2,57.76,11.276,1.18,21.6,0.7142857142857143,5,4,74,134,55.2,864,6,4.5,3,2.2,36,52,6.4,6.3,11.7,172.8,80.6,50.3,7,69,5.0,5.64,5.53,,
27,-0.9,0,25.6,13.84,13.84,13.84,,20.9,0.0625,1,1,22,38,57.9,231,0,0.0,1,2.6,12,38,6.1,4.9,10.5,231.0,64.7,68.5,2,8,5.0,5.58,4.45,,
28,417.5795,1,25.0,406.0608,406.0608,21.7894,1.07,20.3,0.9166666666666666,16,16,396,572,69.2,4544,37,6.5,10,1.7,228,55,7.9,8.5,11.5,284.0,107.2,76.6,26,159,4.3,7.33,7.82,2.0,3.0
29,395.76,1,23.2,342.84,342.84,22.856,1.06,18.5,0.9375,15,15,396,595,66.6,4336,31,5.2,10,1.7,216,72,7.3,7.6,10.9,289.1,98.3,62.6,32,218,5.1,6.57,6.84,1.0,3.0
30,307.3392,1,32.8,319.2,319.2,18.275,4.07,21.0,0.9017857142857143,16,16,349,516,67.6,4265,35,6.8,13,2.5,212,71,8.3,8.5,12.2,266.6,105.0,55.8,39,256,7.0,7.22,7.43,1.0,3.0
31,7.9,0,25.2,193.7,46.0,13.2,,18.5,0.3958333333333333,4,4,60,87,69.0,610,4,4.6,1,1.1,30,52,7.0,7.4,10.2,152.5,99.3,68.2,7,44,7.4,6.02,6.39,,
32,310.4794,1,23.8,390.7408,390.7408,21.31065,1.01,21.1,1.0,16,16,375,558,67.2,3971,26,4.7,12,2.2,205,80,7.1,7.1,10.6,248.2,94.3,61.9,27,176,4.6,6.49,6.45,3.0,4.0
33,252.9804,1,24.4,423.0,341.7795,25.492649999999998,1.32,18.7,0.9583333333333334,15,15,242,376,64.4,2757,26,6.9,9,2.4,138,47,7.3,7.6,11.4,183.8,99.3,67.3,29,160,7.2,6.41,6.7,1.0,1.0
34,14.8599,0,27.6,268.5,26.84,19.62,1.02,18.9,0.6666666666666666,1,0,17,28,60.7,226,1,3.6,1,3.6,11,35,8.1,7.2,13.3,226.0,83.3,97.4,0,0,0.0,8.07,7.18,,
