,y,starter,age,max_pts,last_pts,2_yr_trail_avg_fppg,Draft Pick,breakout_age,games_played_rate,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD
25,423.0,1,22.4,160.0,160.0,10.0,1.32,18.7,1.0,16,7,99,170,58.2,1201,6,3.5,3,1.8,67,74,7.1,7.0,12.1,75.1,84.5,42.6,16,71,8.6,6.08,5.99,0.0,1.0
26,86.8,1,25.6,268.5,183.4,14.05,1.02,18.9,0.875,14,13,228,331,68.9,2528,11,3.3,8,2.4,121,61,7.6,7.2,11.1,180.6,92.3,53.2,42,243,11.3,6.13,5.75,2.0,3.0
27,9.0,0,28.7,84.7,21.1,21.1,4.01,20.0,0.1875,1,1,15,25,60.0,232,2,8.0,0,0.0,12,47,9.3,10.9,15.5,232.0,117.4,85.8,1,8,3.8,8.62,10.15,,
28,279.0,1,34.1,356.8,356.8,18.65,1.03,20.3,1.0,16,16,422,608,69.4,4924,35,5.8,7,1.2,236,75,8.1,8.7,11.7,307.8,108.1,65.7,42,296,6.5,7.12,7.71,1.0,1.0
29,171.2,1,31.299999999999997,302.4,222.4,15.7,1.01,19.6,1.0,16,16,367,555,66.1,3777,21,3.8,11,2.0,197,67,6.8,6.7,10.3,236.1,89.9,51.3,40,255,6.7,5.92,5.79,0.0,1.0
30,4.2,0,29.5,166.4,11.0,7.6,3.11,21.7,0.325,2,0,15,21,71.4,174,1,4.8,0,0.0,8,26,8.3,9.2,11.6,87.0,112.0,75.0,1,8,4.5,7.55,8.45,,
31,211.5,1,24.8,267.4,267.4,15.350000000000001,1.02,22.0,0.8125,14,14,289,434,66.6,3223,24,5.5,12,2.8,163,70,7.4,7.3,11.2,230.2,95.4,71.0,24,143,5.2,6.72,6.59,1.0,2.0
32,37.6,1,30.4,129.6,79.0,10.45,3.25,20.6,0.4125,5,5,141,195,72.3,1413,7,3.6,4,2.1,87,83,7.2,7.0,10.0,282.6,96.0,65.4,9,47,4.4,6.7,6.5,2.0,2.0
33,-0.3,0,24.2,131.2,131.2,16.4,,20.5,0.5,8,8,176,274,64.2,2277,13,4.7,10,3.6,106,85,8.3,7.6,12.9,284.6,90.8,51.7,17,127,5.8,7.39,6.74,0.0,1.0
34,289.8,1,23.7,427.2,427.2,19.05,1.1,19.0,0.53125,16,16,383,580,66.0,5097,50,8.6,12,2.1,262,89,8.8,9.6,13.3,318.6,113.8,80.3,26,171,4.3,8.13,8.89,2.0,2.0
35,252.8,1,37.5,292.8,286.4,17.7,1.04,18.7,1.0,16,16,347,508,68.3,4308,32,6.3,12,2.4,235,75,8.5,8.7,12.4,269.3,105.5,67.8,32,204,5.9,7.6,7.79,3.0,3.0
36,331.2,1,30.5,355.2,304.0,20.6,3.12,19.8,1.0,16,16,280,427,65.6,3448,35,8.2,7,1.6,162,66,8.1,9.0,12.3,215.5,110.9,63.3,51,355,10.7,6.47,7.28,2.0,4.0
