,rb?,te?,age,max_pts,avg_pts,last_pts,3_yr_trail_avg_fppg,injury_risk,last_yr_games_played,hit_rate,Draft Pick,Breakout Age,cdr,id,year
1129,0,1,26.8,140.2005,84.3401,67.4,6.853066666666666,0.8958333333333334,16.0,0.0,3.36,18.0,33.0,Jonnu Smith,2022
1130,0,1,30.1,89.6,63.550149999999995,41.7001,5.082066666666666,0.9,13.0,0.0,3.34,23.4,28.2,Jordan Akins,2022
1131,0,1,33.8,91.2,63.099999999999994,,,0.6041666666666666,,0.0,4.05,,4.3,Jordan Cameron,2022
1132,0,1,26.3,5.6,2.8,0.0,0.0,0.15625,1.0,0.0,,,8.6,Jordan Franks,2022
1133,0,1,27.3,31.2,31.2,,,0.8125,,0.0,5.06,,16.3,Jordan Leggett,2022
1134,0,1,29.9,230.4,91.1,0.0,1.2333333333333334,0.5138888888888888,1.0,0.25,2.1,18.1,48.3,Jordan Matthews,2022
1135,0,1,31.9,243.59999999999997,126.4833333333333,,7.31,0.6875,,0.16666666666666666,3.23,21.2,26.2,Jordan Reed,2022
1136,0,1,25.8,65.8,24.966733333333334,,1.50835,0.34375,,0.0,6.37,,14.9,Jordan Thomas,2022
1137,0,1,32.4,19.200000000000003,19.200000000000003,,,0.375,,0.0,,21.6,29.0,Joseph Fauria,2022
1138,0,1,32.0,65.8,41.814342857142854,,3.0143,0.7734375,,0.0,,20.3,18.1,Josh Hill,2022
1139,0,1,25.4,15.600200000000001,10.0501,15.600200000000001,1.30715,0.4166666666666667,14.0,0.0,3.05,21.7,20.6,Josh Oliver,2022
1140,0,1,25.3,61.5008,31.8504,61.5008,2.4718999999999998,0.5625,16.0,0.0,3.3,22.6,30.5,Josiah Deguara,2022
1141,0,1,33.9,164.39999999999998,116.37499999999999,,,0.734375,,0.0,4.32,22.2,21.8,Julius Thomas,2022
1142,0,1,31.4,27.0,17.3,,,0.3125,,0.0,,20.7,16.4,Justin Perillo,2022
1143,0,1,25.7,52.9004,30.400299999999998,52.9004,2.4536,0.65625,14.0,0.0,,23.0,17.6,Juwan Johnson,2022
1144,0,1,25.1,75.60000000000001,37.033500000000004,6.3,4.482233333333333,0.59375,9.0,0.0,6.03,,16.7,Kaden Smith,2022
1145,0,1,25.2,6.5001999999999995,3.2500999999999998,0.0,0.4643,0.28125,2.0,0.0,3.22,,19.6,Kahale Warring,2022
1146,0,1,36.6,11.0,3.6666666666666665,,,0.3125,,0.0,5.23,21.9,23.3,Kellen Davis,2022
