,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
0,Ben Roethlisberger,PIT,36,QB,16,16,9-6-2001,452,675,67,5129,34,5,16,2.4,248,97,7.6,7.5,11.3,320.6,96.5,69.6,24,166,3.4,7.1,7.04,2,3
1,Patrick Mahomes,KAN,23,QB,16,16,12-4-2000,383,580,66,5097,50,8.6,12,2.1,262,89,8.8,9.6,13.3,318.6,113.8,80.3,26,171,4.3,8.13,8.89,2,2
2,Matt Ryan,ATL,33,QB,16,16,7-9-2000,422,608,69.4,4924,35,5.8,7,1.2,236,75,8.1,8.7,11.7,307.8,108.1,65.7,42,296,6.5,7.12,7.71,1,1
3,Jared Goff,LAR,24,QB,16,16,13-3-0,364,561,64.9,4688,32,5.7,12,2.1,268,70,8.4,8.5,12.9,293,101.1,63.6,33,223,5.6,7.52,7.69,4,4
4,Andrew Luck,IND,29,QB,16,16,10-6-2000,430,639,67.3,4593,39,6.1,15,2.3,260,68,7.2,7.4,10.7,287.1,98.7,69.6,18,134,2.7,6.79,6.95,3,3
5,Aaron Rodgers,GNB,35,QB,16,16,6-9-2001,372,597,62.3,4442,25,4.2,2,0.3,200,75,7.4,8.1,11.9,277.6,97.6,58,49,353,7.6,6.33,6.96,3,3
6,Tom Brady,NWE,41,QB,16,16,11-5-2000,375,570,65.8,4355,29,5.1,11,1.9,255,63,7.6,7.8,11.6,272.2,97.7,68.4,21,147,3.6,7.12,7.26,1,2
7,Philip Rivers,LAC,37,QB,16,16,12-4-2000,347,508,68.3,4308,32,6.3,12,2.4,235,75,8.5,8.7,12.4,269.3,105.5,67.8,32,204,5.9,7.6,7.79,3,3
8,Eli Manning,NYG,37,QB,16,16,5-11-2000,380,576,66,4299,21,3.6,11,1.9,205,58,7.5,7.3,11.3,268.7,92.4,49.1,47,358,7.5,6.33,6.21,1,2
9,Kirk Cousins,MIN,30,QB,16,16,8-7-2001,425,606,70.1,4298,30,5,10,1.7,218,75,7.1,7.3,10.1,268.6,99.7,59.5,40,262,6.2,6.25,6.48,1,0
