,Full Name,0,1,Position,Team
90,Rob Gronkowski,0.86864144,0.13135855,TE,Tampa Bay Buccaneers
91,Jamaal Williams,0.8699231,0.13007692,RB,Green Bay Packers
92,Mecole Hardman,0.87113005,0.12886995,WR,Kansas City Chiefs
93,Laviska Shenault,0.8780442,0.121955805,WR,Jacksonville Jaguars
94,Chase Claypool,0.8780442,0.121955805,WR,Pittsburgh Steelers
95,K.J. Hamler,0.8780442,0.121955805,WR,Denver Broncos
96,Sammy Watkins,0.88044983,0.119550176,WR,Kansas City Chiefs
97,T.Y. Hilton,0.88133484,0.11866517,WR,Indianapolis Colts
98,Dallas Goedert,0.88236034,0.11763963,TE,Philadelphia Eagles
99,Curtis Samuel,0.88293946,0.11706056,WR,Carolina Panthers
100,Alshon Jeffery,0.8917417,0.10825831,WR,Philadelphia Eagles
101,Marvin Jones,0.89279616,0.107203856,WR,Detroit Lions
102,Denzel Mims,0.8931147,0.106885314,WR,New York Jets
103,Mike Williams,0.8935124,0.10648755,WR,Los Angeles Chargers
104,Devonta Freeman,0.89518726,0.10481274,RB,New York Giants
105,Ke'Shawn Vaughn,0.9010684,0.098931596,RB,Tampa Bay Buccaneers
106,Dede Westbrook,0.9028698,0.097130194,WR,Jacksonville Jaguars
107,Hunter Renfrow,0.9028698,0.097130194,WR,Las Vegas Raiders
108,Cole Kmet,0.90907246,0.09092753,TE,Chicago Bears
109,Noah Fant,0.9092755,0.090724505,TE,Denver Broncos
110,Brandon Aiyuk,0.91096073,0.08903925,WR,San Francisco 49ers
111,Michael Pittman,0.91096073,0.08903925,WR,Indianapolis Colts
112,Hunter Henry,0.9110415,0.08895847,TE,Los Angeles Chargers
113,Anthony Miller,0.91224074,0.08775925,WR,Chicago Bears
114,James Washington,0.9160951,0.0839049,WR,Pittsburgh Steelers
115,Emmanuel Sanders,0.9175059,0.08249408,WR,New Orleans Saints
116,Cordarrelle Patterson,0.91858065,0.08141935,RB,Chicago Bears
117,Larry Fitzgerald,0.9190801,0.08091994,WR,Arizona Cardinals
118,Breshad Perriman,0.9201625,0.079837486,WR,New York Jets
119,Zack Moss,0.9223087,0.07769133,RB,Buffalo Bills
120,Mike Gesicki,0.9249345,0.075065486,TE,Miami Dolphins
121,Robby Anderson,0.926897,0.07310303,WR,Carolina Panthers
122,Adrian Peterson,0.9288951,0.07110488,RB,Detroit Lions
123,Kerryon Johnson,0.9301444,0.06985556,RB,Detroit Lions
124,Marlon Mack,0.9317292,0.068270795,RB,Indianapolis Colts
125,Tyler Higbee,0.93376434,0.066235654,TE,Los Angeles Rams
126,Jason Witten,0.9343823,0.065617695,TE,Dallas Cowboys
127,Evan Engram,0.93485004,0.06514998,TE,New York Giants
128,Darrynton Evans,0.9361219,0.06387813,RB,Tennessee Titans
129,Nyheim Hines,0.9380527,0.0619473,RB,Indianapolis Colts
130,Jared Cook,0.93816245,0.061837528,TE,New Orleans Saints
131,T.J. Yeldon,0.9397479,0.060252044,RB,Buffalo Bills
132,Van Jefferson,0.9401698,0.059830215,WR,Los Angeles Rams
133,John Ross,0.94050664,0.059493355,WR,Cincinnati Bengals
134,Jordan Howard,0.94388384,0.056116153,RB,Miami Dolphins
135,Sterling Shepard,0.94403297,0.055967025,WR,New York Giants
136,Chris Conley,0.9461504,0.053849593,WR,Jacksonville Jaguars
137,N'Keal Harry,0.9465008,0.05349925,WR,New England Patriots
138,Andy Isabella,0.9465008,0.05349925,WR,Arizona Cardinals
139,Lynn Bowden,0.94768053,0.052319482,WR,Miami Dolphins
140,Zay Jones,0.9485376,0.051462438,WR,Las Vegas Raiders
141,Antonio Brown,0.9486761,0.051323865,WR,Tampa Bay Buccaneers
142,Kenny Stills,0.949541,0.050459035,WR,Buffalo Bills
143,James White,0.95001966,0.049980324,RB,New England Patriots
144,Nelson Agholor,0.950726,0.049274042,WR,las Vegas Raiders
145,Randall Cobb,0.9510919,0.048908107,WR,Houston Texans
146,Rashaad Penny,0.9519796,0.048020396,RB,Seattle Seahawks
147,Eric Ebron,0.95235276,0.04764724,TE,Pittsburgh Steelers
148,O.J. Howard,0.9527394,0.04726058,TE,Tampa Bay Buccaneers
149,Mohamed Sanu,0.95370895,0.04629106,WR,San Francisco 49ers
150,Tyler Johnson,0.9538603,0.046139747,WR,Tampa Bay Buccaneers
151,Jonnu Smith,0.9539428,0.046057235,TE,Tennessee Titans
152,J.J. Arcega-Whiteside,0.9540996,0.045900423,TE,Philadelphia Eagles
153,James Robinson,0.954139,0.045861017,RB,Jacksonville Jaguars
154,Kahale Warring,0.9551197,0.04488028,TE,Houston Texans
155,Irv Smith,0.9561634,0.043836564,TE,Minnesota Vikings
156,Tavon Austin,0.9568166,0.043183364,RB,San Francisco 49ers
157,Dez Bryant,0.95836097,0.041639008,WR,Baltimore Ravens
158,Alexander Mattison,0.95960367,0.04039634,RB,Minnesota Vikings
159,Giovani Bernard,0.95990396,0.040096037,RB,Cincinnati Bengals
160,Ameer Abdullah,0.96047324,0.03952674,RB,Minnesota Vikings
161,David Njoku,0.96148336,0.038516644,TE,Cleveland Browns
162,Darrell Henderson,0.9617379,0.03826211,RB,Los Angeles Rams
163,Damien Harris,0.9617379,0.03826211,RB,New England Patriots
164,Latavius Murray,0.9644974,0.03550263,RB,New Orleans Saints
165,Jordan Matthews,0.9646894,0.035310626,TE,San Francisco 49ers
166,LeSean McCoy,0.9647305,0.035269514,RB,Tampa Bay Buccaneers
167,Dalton Keene,0.96579444,0.034205545,TE,New England Patriots
168,Parris Campbell,0.965991,0.03400897,WR,Indianapolis Colts
169,T.J. Hockenson,0.9665078,0.03349222,TE,Detroit Lions
170,Demarcus Robinson,0.96707404,0.032925967,WR,Kansas City Chiefs
171,Golden Tate,0.9673704,0.03262961,WR,New York Giants
172,Maxx Williams,0.9677976,0.0322024,TE,Arizona Cardinals
173,Auden Tate,0.9679189,0.032081127,WR,Cincinnati Bengals
174,Jaylen Samuels,0.9689001,0.031099932,RB,Pittsburgh Steelers
175,Laquon Treadwell,0.9690594,0.030940609,WR,Atlanta Falcons
176,Carlos Hyde,0.96993214,0.030067848,RB,Seattle Seahawks
177,Dante Pettis,0.9711846,0.028815378,WR,San Francisco 49ers
178,Donte Moncrief,0.9712324,0.028767567,WR,Pittsburgh Steelers
179,Raheem Mostert,0.97135085,0.028649153,RB,San Francisco 49ers
180,Zach Pascal,0.97231835,0.02768162,WR,Indianapolis Colts
181,Jimmy Graham,0.9727051,0.027294884,TE,Green Bay Packers
182,Tyler Eifert,0.97306705,0.026932947,TE,Cincinnati Bengals
183,Vance McDonald,0.973729,0.026270982,TE,Pittsburgh Steelers
184,Greg Olsen,0.9741744,0.025825635,TE,Seattle Seahawks
185,Devin Duvernay,0.97428393,0.025716083,WR,Baltimore Ravens
186,Ted Ginn,0.97440934,0.025590628,WR,Chicago Bears
187,Gabriel Davis,0.97621554,0.023784451,WR,Buffalo Bills
188,Isaiah Coulter,0.97621554,0.023784451,WR,Houston Texans
189,Hayden Hurst,0.97630644,0.023693575,TE,Atlanta Falcons
190,Anthony McFarland,0.9765746,0.023425391,RB,Pittsburgh Steelers
191,DeeJay Dallas,0.9765746,0.023425391,RB,Seattle Seahawks
192,Kevin White,0.97682947,0.023170527,WR,San Francisco 49ers
193,Ashton Dulin,0.97739387,0.022606138,WR,Indianapolis Colts
194,Jordan Reed,0.97741383,0.022586143,TE,San Francisco 49ers
195,Adam Trautman,0.9780281,0.021971866,TE,New Orleans Saints
196,Devin Asiasi,0.9780281,0.021971866,TE,New England Patriots
197,Josiah Deguara,0.9780281,0.021971866,TE,Green Bay Packers
198,Adam Thielen,0.97813815,0.021861825,WR,Minnesota Vikings
199,Lamar Miller,0.97825456,0.021745453,RB,Chicago Bears
200,Tre'Quan Smith,0.97866684,0.02133314,WR,New Orleans Saints
201,D'Onta Foreman,0.9786891,0.021310935,RB,Tennessee Titans
202,Cole Beasley,0.9787261,0.021273904,WR,Buffalo Bills
203,Taywan Taylor,0.9793124,0.020687576,WR,Cleveland Browns
204,Adam Shaheen,0.9796957,0.020304324,TE,Miami Dolphins
205,Gerald Everett,0.9796957,0.020304324,TE,Los Angeles Rams
206,Drew Sample,0.9796957,0.020304324,TE,Cincinnati Bengals
207,Russell Gage,0.97971016,0.020289827,WR,Atlanta Falcons
208,Colby Parkinson,0.97980237,0.02019762,TE,Seattle Seahawks
209,Frank Gore,0.98027575,0.019724276,RB,New York Jets
210,Ty Montgomery,0.9806218,0.019378204,RB,New Orleans Saints
211,DeAndre Washington,0.9806587,0.019341286,RB,Kansas City Chiefs
212,Richard Rodgers,0.9807849,0.019215109,TE,Washington Commanders
213,Dawson Knox,0.9809012,0.01909881,TE,Buffalo Bills
214,Tyler Kroft,0.98102015,0.018979857,TE,Buffalo Bills
215,Alfred Morris,0.98113465,0.018865326,RB,New York Giants
216,Marcedes Lewis,0.9811396,0.018860385,TE,Green Bay Packers
217,Danny Amendola,0.9812883,0.018711692,WR,Detroit Lions
218,Kristian Wilkerson,0.981441,0.01855898,WR,Tennessee Titans
219,Donald Parham,0.981441,0.01855898,TE,Los Angeles Chargers
220,Derek Carrier,0.9816065,0.018393528,TE,Las Vegas Raiders
221,Jordan Akins,0.98187256,0.018127432,TE,Houston Texans
222,Kyle Rudolph,0.9819986,0.018001372,TE,Minnesota Vikings
223,Justice Hill,0.98219496,0.017805064,RB,Baltimore Ravens
224,Jace Sternberger,0.9823378,0.017662225,TE,Green Bay Packers
225,C.J. Prosise,0.9824774,0.017522555,RB,Houston Texans
226,Michael Warren,0.9824801,0.017519863,RB,Philadelphia Eagles
227,Justin Watson,0.9824876,0.01751238,WR,Tampa Bay Buccaneers
228,Hakeem Butler,0.9825568,0.01744317,TE,Arizona Cardinals
229,Ryan Griffin,0.9826911,0.017308917,TE,New York Jets
230,Jason Huntley,0.98287636,0.017123645,RB,Detroit Lions
231,Chris Thompson,0.98299855,0.017001431,RB,Jacksonville Jaguars
232,Chris Thompson,0.98299855,0.017001431,WR,-
233,DeSean Jackson,0.98326427,0.01673574,WR,Philadelphia Eagles
234,Matt Breida,0.9833909,0.016609067,RB,Miami Dolphins
235,Miles Boykin,0.9839773,0.016022665,WR,Baltimore Ravens
236,Travis Homer,0.9840976,0.01590239,RB,Seattle Seahawks
237,Keelan Cole,0.9841771,0.015822913,WR,Jacksonville Jaguars
238,Antonio Callaway,0.9844185,0.015581511,WR,Miami Dolphins
239,Mike Davis,0.9844185,0.015581511,RB,Carolina Panthers
240,Mike Davis,0.9844185,0.015581511,WR,-
241,Mike Davis,0.98961616,0.01038382,RB,-
242,Mike Davis,0.98961616,0.01038382,WR,-
243,Andre Roberts,0.98447824,0.015521737,WR,Buffalo Bills
