,id,0,1,y,starter,age,max_pts,avg_pts,last_pts,3_yr_trail_avg_fppg,hit_rate,Draft Pick,supporting_cast,breakout_age,konami,games_played_rate
0,Deshaun Watson,0.11892772,0.8810723,1,1,24.7,340.8,281.23333333333335,330.0,22.666666666666668,0.6666666666666666,1.12,1.037354097,20.0,4.666666666666667,0.7916666666666666
1,Aaron Rodgers,0.1754995,0.8245005,1,1,36.5,382.4,293.56666666666666,276.8,18.666666666666668,0.6666666666666666,1.24,1.47348569,19.8,1.6666666666666667,0.90625
2,Lamar Jackson,0.1937387,0.8062613,1,1,23.4,423.0,291.5,423.0,19.1,0.5,1.32,1.049973228,18.7,6.0,0.96875
3,Tom Brady,0.23123276,0.76876724,1,1,42.8,352.0,292.8666666666666,270.4,17.933333333333334,0.16666666666666666,6.33,2.793729022,21.1,1.3333333333333333,0.9583333333333334
4,Patrick Mahomes,0.32472396,0.67527604,1,1,24.7,427.2,242.79999999999998,289.8,19.599999999999998,0.3333333333333333,1.1,1.786027793,19.0,1.3333333333333333,0.6458333333333334
5,Josh Allen,0.3800984,0.6199016,1,1,24.0,291.2,254.8,291.2,18.2,0.0,1.07,1.162155129,20.3,8.5,0.875
6,Russell Wilson,0.631089,0.368911,1,1,31.5,355.2,324.0,331.2,20.633333333333336,0.8333333333333334,3.12,1.569104334,19.8,2.3333333333333335,1.0
7,Ryan Tannehill,0.68931913,0.31068087,1,1,31.9,291.2,227.01999999999998,228.0,16.25,0.0,1.08,1.659804095,22.1,1.4,0.85
8,Drew Brees,0.6950586,0.30494142,0,1,41.4,347.2,298.4,228.8,19.400000000000002,0.6666666666666666,2.01,1.621723098,19.6,1.8333333333333333,0.9270833333333334
9,Kyler Murray,0.72920847,0.27079156,1,1,22.8,291.2,291.2,291.2,18.2,0.0,1.01,1.31400275,21.1,4.0,1.0
10,Baker Mayfield,0.79362875,0.20637125,0,1,25.1,250.6,249.3,248.0,16.7,0.0,1.01,2.620136174,18.4,1.5,0.9375
11,Matt Ryan,0.8429391,0.1570609,0,1,35.1,356.8,295.03333333333336,279.0,18.633333333333333,0.3333333333333333,1.03,1.652579439,20.3,0.6666666666666666,0.9895833333333334
12,Dak Prescott,0.8674599,0.1325401,0,1,26.8,347.2,300.4,347.2,18.96666666666667,0.25,4.37,1.935264905,20.1,5.25,1.0
13,Jameis Winston,0.8967394,0.10326057,0,0,26.4,328.0,260.78000000000003,328.0,18.599999999999998,0.2,1.01,1.621723098,19.7,2.0,0.9
14,Kirk Cousins,0.9085857,0.091414295,1,1,31.799999999999997,312.0,256.09999999999997,249.0,17.566666666666666,0.3333333333333333,4.07,1.022496454,21.0,2.5,0.8854166666666666
15,Cam Newton,0.9124511,0.08754893,0,1,31.1,398.4,257.3,17.6,16.400000000000002,0.3333333333333333,1.01,0.374483479,21.3,5.0,0.8020833333333334
16,Jared Goff,0.9152368,0.08476321,0,1,25.6,318.4,226.27499999999998,264.0,17.966666666666665,0.25,1.01,1.570746669,18.9,1.5,0.84375
17,Philip Rivers,0.9180599,0.08194013,0,1,38.5,292.8,279.2,252.8,17.066666666666666,0.0,1.04,0.655557835,18.7,0.0,1.0
18,Carson Wentz,0.9309139,0.06908609,0,1,27.4,280.8,244.9,278.4,19.0,0.0,1.02,1.113165653,21.7,0.75,0.875
19,Matthew Stafford,0.942524,0.05747601,0,1,32.3,302.4,254.13333333333335,171.2,17.599999999999998,0.16666666666666666,1.01,1.217968866,19.6,0.8333333333333334,0.9166666666666666
20,Mitchell Trubisky,0.95268327,0.047316756,0,1,25.8,267.4,206.0333333333333,211.5,14.933333333333335,0.0,1.02,1.44719202,22.0,2.3333333333333335,0.8541666666666666
21,Ryan Finley,0.9589984,0.041001614,0,0,25.4,26.7,26.7,26.7,8.9,0.0,4.02,2.793729022,21.7,0.0,0.1875
22,Blaine Gabbert,0.96436536,0.035634626,0,0,30.6,136.8,64.74,,8.85,0.0,1.1,2.793729022,19.9,0.6,0.35
23,Drew Lock,0.96819174,0.031808242,0,1,22.6,71.0,71.0,71.0,14.2,0.0,2.1,1.42297561,18.8,0.0,0.3125
24,Garrett Gilbert,0.9683026,0.03169738,0,0,28.9,1.6,0.55,-0.5,0.75,0.0,6.38,2.620136174,22.1,0.0,0.1875
25,Case Keenum,0.97508687,0.02491314,0,0,32.3,243.0,128.81666666666666,108.0,13.800000000000002,0.0,,2.620136174,19.6,0.8333333333333334,0.6041666666666666
26,Dwayne Haskins,0.97598517,0.024014814,0,1,23.1,81.9,81.9,81.9,9.1,0.0,1.15,0.86513313,21.3,0.0,0.5625
27,Ben DiNucci,0.97911215,0.020887874,0,0,23.5,,,,,,7.17,1.935264905,,,
28,Teddy Bridgewater,0.97977537,0.020224646,0,1,27.6,208.0,98.99999999999999,92.7,3.7000000000000006,0.0,1.32,1.61679884,18.8,0.8,0.5375
29,Daniel Jones,0.9817609,0.018239103,0,1,23.0,223.6,223.6,223.6,17.2,0.0,1.06,1.054456075,19.3,2.0,0.8125
30,Gardner Minshew,0.9819501,0.018049896,0,1,24.0,229.6,229.6,229.6,16.4,0.0,6.05,0.491827009,21.3,0.0,0.875
31,Andy Dalton,0.9820138,0.017986184,0,0,32.6,268.8,230.20000000000002,213.2,15.733333333333333,0.0,2.03,1.935264905,20.9,2.5,0.8854166666666666
32,Ryan Fitzpatrick,0.9829623,0.017037714,0,1,37.5,300.8,191.13333333333333,252.0,17.2,0.16666666666666666,7.36,0.364208251,20.8,1.6666666666666667,0.7395833333333334
33,Derek Carr,0.98312736,0.016872615,0,1,29.2,284.8,240.56666666666663,252.8,14.666666666666666,0.0,2.04,1.338523122,20.4,0.5,0.9791666666666666
34,Sam Darnold,0.9835497,0.016450258,0,1,23.0,196.3,189.8,196.3,14.6,0.0,1.03,0.73992954,19.3,1.5,0.8125
35,Joe Burrow,0.98531014,0.014689844,0,1,23.5,,,,,,1.01,1.633299019,21.7,,
36,Jimmy Garoppolo,0.98606825,0.013931754,0,1,28.6,256.0,73.85000000000001,256.0,15.866666666666667,0.0,2.3,1.30226548,19.8,0.3333333333333333,0.4166666666666667
37,Ben Roethlisberger,0.9873183,0.012681734,0,1,38.3,348.8,237.5333333333333,13.8,15.566666666666665,0.3333333333333333,1.11,1.110652307,19.5,0.6666666666666666,0.78125
38,Tyrod Taylor,0.9877233,0.012276716,0,1,30.799999999999997,274.4,137.2,6.0,9.166666666666666,0.0,6.15,1.29965362,20.1,2.5,0.5520833333333334
39,Chad Henne,0.9884655,0.0115344925,0,0,34.9,162.0,38.82,,0.65,0.0,2.26,1.786027793,20.2,0.0,0.275
40,Matt Schaub,0.9886982,0.011301791,0,0,39.0,32.0,12.22,32.0,3.2,0.0,3.27,1.652579439,21.2,0.0,0.175
41,Logan Woodside,0.98958623,0.010413772,0,0,24.5,,,,,,7.31,1.659804095,20.8,,
42,Trace McSorley,0.9904366,0.009563405,0,0,24.8,0.1,0.1,0.1,0.1,0.0,6.24,1.049973228,21.0,0.0,0.0625
43,C.J. Beathard,0.99087423,0.009125763,0,0,26.5,94.8,88.4,,16.1,0.0,3.4,1.30226548,21.8,2.0,0.34375
44,Joe Flacco,0.990877,0.0091230245,0,0,35.4,275.2,187.44999999999996,88.0,13.066666666666668,0.0,1.18,0.73992954,21.6,1.3333333333333333,0.78125
45,Tyler Huntley,0.9909999,0.009000107,0,0,22.3,,,,,,,1.049973228,21.6,,
46,Justin Herbert,0.9909999,0.009000107,1,0,22.2,,,,,,1.06,1.29965362,18.5,,
47,Tua Tagovailoa,0.9909999,0.009000107,0,0,22.3,,,,,,1.05,0.364208251,20.5,,
48,Kendall Hinton,0.9909999,0.009000107,0,0,23.3,,,,,,,1.42297561,,,
49,Jalen Hurts,0.9909999,0.009000107,0,0,21.8,,,,,,2.21,1.113165653,18.1,,
50,Tyler Bray,0.9911017,0.008898317,0,0,28.4,-2.0,-2.0,,-2.0,0.0,,1.44719202,18.7,0.0,0.0625
51,Jacoby Brissett,0.9914836,0.008516375,0,0,27.5,220.5,115.175,220.5,9.266666666666667,0.0,3.29,0.655557835,21.7,2.25,0.59375
52,Alex Smith,0.99160033,0.008399654,0,0,36.1,300.0,234.21999999999997,,17.15,0.0,1.01,0.86513313,19.3,2.0,0.8875
53,Jake Luton,0.9916826,0.00831739,0,0,24.1,,,,,,6.1,0.491827009,23.4,,
54,Kyle Allen,0.99275386,0.0072461325,0,0,24.2,193.7,110.14999999999999,193.7,14.100000000000001,0.0,,0.86513313,18.5,1.5,0.46875
55,Marcus Mariota,0.99275386,0.0072461325,0,0,26.6,268.5,195.45999999999998,86.8,13.5,0.0,1.02,1.338523122,18.9,2.2,0.7875
56,Jeff Driskel,0.9928234,0.0071765487,0,0,27.1,84.8,73.0,61.2,15.5,0.0,6.32,1.42297561,18.4,1.5,0.34375
57,Colt McCoy,0.99292827,0.0070717055,0,0,33.8,66.0,27.575,5.2,7.65,0.0,3.21,1.054456075,20.0,0.25,0.171875
58,Chase Daniel,0.99292827,0.0070717055,0,0,33.7,31.6,11.950000000000001,27.9,5.666666666666667,0.0,,1.217968866,19.9,0.0,0.13541666666666666
59,Brian Hoyer,0.99292827,0.0070717055,0,0,34.6,173.8,85.95,25.2,4.333333333333333,0.0,,0.374483479,,0.16666666666666666,0.5208333333333334
60,Nate Sudfeld,0.9930534,0.0069465977,0,0,26.7,7.6,6.1,,4.949999999999999,0.0,6.12,1.113165653,19.9,0.0,0.09375
61,Joe Webb,0.99342126,0.006578753,0,0,33.6,5.7,1.78,,1.25,0.0,6.3,1.054456075,21.8,0.0,0.15
62,Robert Griffin III,0.99364364,0.006356369,0,0,30.299999999999997,213.2,78.78,16.8,1.5999999999999999,0.0,1.02,1.049973228,18.6,0.6,0.4375
63,Nick Foles,0.9939006,0.006099429,0,0,31.4,129.6,69.06666666666668,37.6,10.1,0.0,3.25,1.44719202,20.6,0.16666666666666666,0.3854166666666667
64,Mason Rudolph,0.9939006,0.006099429,0,0,24.9,118.0,118.0,118.0,11.8,0.0,3.12,1.110652307,20.1,0.0,0.625
65,Tim Boyle,0.9939006,0.006099429,0,0,25.7,0.0,0.0,0.0,0.0,0.0,,1.47348569,,0.0,0.1875
66,Brandon Allen,0.9939006,0.006099429,0,0,27.7,34.5,34.5,34.5,11.5,0.0,6.26,1.633299019,21.0,0.0,0.1875
67,Matt Barkley,0.9939006,0.006099429,0,0,29.7,84.7,23.740000000000002,9.0,12.8,0.0,4.01,1.162155129,20.0,0.0,0.175
