,id,0,1,y,starter,age,max_pts,avg_pts,last_pts,3_yr_trail_avg_fppg,hit_rate,Draft Pick,supporting_cast,breakout_age,konami,games_played_rate
0,Deshaun Watson,0.09596622,0.9040338,1,1,23.7,340.8,256.85,340.8,23.0,0.5,1.12,1.128670945,20.0,3.5,0.71875
1,Russell Wilson,0.32598937,0.67401063,1,1,30.5,355.2,322.56,304.0,19.466666666666665,0.8,3.12,1.135586141,19.8,2.2,1.0
2,Dak Prescott,0.37059677,0.62940323,1,1,25.8,291.2,284.8,289.6,17.8,0.0,4.37,1.41006317,20.1,6.0,1.0
3,Aaron Rodgers,0.6360425,0.36395752,0,1,35.5,382.4,296.91999999999996,308.8,20.866666666666664,0.8,1.24,1.073120423,19.8,1.8,0.8875
4,Baker Mayfield,0.6658677,0.33413234,0,1,24.1,250.6,250.6,250.6,17.9,0.0,1.01,3.088713376,18.4,0.0,0.875
5,Patrick Mahomes,0.7041997,0.2958003,0,1,23.7,427.2,219.29999999999998,427.2,19.05,0.5,1.1,1.878619554,19.0,1.0,0.53125
6,Cam Newton,0.72924376,0.2707562,0,1,30.1,398.4,305.24,291.2,19.333333333333332,0.4,1.01,1.368189545,21.3,6.0,0.9375
7,Drew Brees,0.76890683,0.23109314,0,1,40.4,347.2,312.32,307.5,19.7,0.8,2.01,1.700092415,19.6,2.0,0.975
8,Josh Allen,0.7986202,0.2013798,0,1,23.0,218.4,218.4,218.4,18.2,0.0,1.07,1.43014391,20.3,8.0,0.75
9,Jared Goff,0.8336241,0.16637589,0,1,24.6,318.4,213.69999999999996,318.4,15.333333333333334,0.3333333333333333,1.01,2.865784097,18.9,1.3333333333333333,0.7916666666666666
10,Ben Roethlisberger,0.8507235,0.14927647,0,1,37.3,348.8,282.28,348.8,19.433333333333334,0.4,1.11,1.365334638,19.5,0.8,0.9125
11,Matt Ryan,0.8648353,0.13516466,0,1,34.1,356.8,298.24,356.8,19.733333333333334,0.4,1.03,1.238661712,20.3,0.6,1.0
12,Kirk Cousins,0.86950535,0.13049467,0,1,30.799999999999997,312.0,257.52,286.4,18.533333333333335,0.4,4.07,1.05349462,21.0,2.8,0.875
13,Tom Brady,0.88476694,0.11523305,0,1,41.8,352.0,297.36,291.2,19.46666666666667,0.2,6.33,0.891325904,21.1,1.0,0.95
14,Philip Rivers,0.8895841,0.11041587,0,1,37.5,292.8,284.48,286.4,17.633333333333333,0.0,1.04,1.633533784,18.7,0.0,1.0
15,Blake Bortles,0.94693005,0.053069934,0,0,27.4,332.8,247.68,184.6,15.933333333333332,0.2,1.03,2.865784097,20.7,1.6,0.9375
16,Garrett Gilbert,0.95101756,0.04898244,0,0,27.9,1.6,1.6,1.6,1.6,0.0,6.38,3.088713376,22.1,0.0,0.0625
17,Matthew Stafford,0.9571044,0.042895626,0,1,31.299999999999997,302.4,270.72,222.4,16.466666666666665,0.2,1.01,0.74616293,19.6,1.0,1.0
18,Carson Wentz,0.96466553,0.03533448,0,1,26.4,280.8,233.73333333333335,198.0,17.833333333333332,0.0,1.02,1.335377486,21.7,0.6666666666666666,0.8333333333333334
19,Jameis Winston,0.9678952,0.03210479,1,1,25.4,286.4,243.97500000000002,210.1,17.366666666666667,0.0,1.01,1.534354181,19.7,2.25,0.875
20,Jimmy Garoppolo,0.9742473,0.025752703,0,1,27.6,91.8,37.42,48.9,12.466666666666669,0.0,2.3,1.493186455,19.8,0.2,0.3
21,Eli Manning,0.9766722,0.023327824,0,1,38.4,300.8,253.95999999999998,244.8,14.566666666666668,0.2,1.01,1.01139842,20.7,0.6,0.9875
22,Sam Darnold,0.9772019,0.0227981,0,1,22.0,183.3,183.3,183.3,14.1,0.0,1.03,0.4652714289999999,19.3,1.0,0.8125
23,Mitchell Trubisky,0.9785933,0.021406723,0,1,24.8,267.4,203.29999999999998,267.4,15.350000000000001,0.0,1.02,0.98905628,22.0,2.5,0.8125
24,Matt Moore,0.9786204,0.02137956,0,0,34.8,57.6,26.25,,13.0,0.0,,1.878619554,22.1,0.0,0.171875
25,Lamar Jackson,0.9810585,0.018941527,1,1,22.4,160.0,160.0,160.0,10.0,0.0,1.32,0.5304916749999999,18.7,5.0,1.0
26,Kyler Murray,0.98247176,0.017528253,0,1,21.8,,,,,,1.01,0.7051460439999999,21.1,,
27,Joe Flacco,0.9840567,0.01594329,0,1,34.4,275.2,207.33999999999997,143.1,14.6,0.0,1.18,0.7816331099999999,21.6,1.6,0.8375
28,Jacoby Brissett,0.9859841,0.014015924,0,1,26.5,212.8,80.06666666666666,-0.8,7.500000000000001,0.0,3.29,1.339374444,21.7,1.6666666666666667,0.4791666666666667
29,Josh McCown,0.98671466,0.013285329,0,0,39.9,214.5,113.61999999999998,24.8,11.299999999999999,0.0,3.16,1.335377486,,1.8,0.5125
30,Case Keenum,0.9871823,0.012817685,0,1,31.299999999999997,243.0,132.98,230.4,14.266666666666666,0.0,,0.470374147,19.6,0.8,0.6
