,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
26,Tua Tagovailoa,MIA,23,QB,13,12,7-5-2000,263,388,67.8,2653,16,4.1,10,2.6,137,65,6.8,6.5,10.1,204.1,90.1,49.7,20,152,4.9,6.13,5.81,0,2
27,Sam Darnold,CAR,24,QB,12,11,4-7-2000,243,406,59.9,2527,9,2.2,13,3.2,123,63,6.2,5.2,10.4,210.6,71.9,33.2,35,204,7.9,5.27,4.35,,
28,Daniel Jones,NYG,24,QB,11,11,4-7-2000,232,361,64.3,2428,10,2.8,7,1.9,116,54,6.7,6.4,10.5,220.7,84.8,41.5,22,160,5.7,5.92,5.62,1,1
30,Zach Wilson,NYJ,22,QB,13,13,3-10-2000,213,383,55.6,2334,9,2.3,11,2.9,112,54,6.1,5.3,11,179.5,69.7,28.2,44,370,10.3,4.6,3.86,1,1
31,Justin Fields,CHI,22,QB,12,10,2-8-2000,159,270,58.9,1870,7,2.6,10,3.7,83,64,6.9,5.8,11.8,155.8,73.2,26.4,36,264,11.8,5.25,4.24,,
32,Andy Dalton,CHI,34,QB,8,6,3-3-2000,149,236,63.1,1515,8,3.4,9,3.8,83,60,6.4,5.4,10.2,189.4,76.9,33.6,18,143,7.1,5.4,4.44,1,1
33,Jacoby Brissett,MIA,29,QB,11,5,2-3-2000,141,225,62.7,1283,5,2.2,4,1.8,69,52,5.7,5.3,9.1,116.6,78.1,48.2,19,132,7.8,4.72,4.39,,
34,Jameis Winston,NOR,27,QB,7,7,5-2-2000,95,161,59,1170,14,8.7,3,1.9,56,72,7.3,8.2,12.3,167.1,102.8,64.4,11,69,6.4,6.4,7.24,0,1
35,Trevor Siemian,NOR,30,QB,6,4,0-4-0,108,188,57.4,1154,11,5.9,3,1.6,61,46,6.1,6.6,10.7,192.3,88.4,35.5,9,64,4.6,5.53,5.96,1,1
36,Tyler Huntley,BAL,23,QB,7,4,1-3-2000,122,188,64.9,1081,3,1.6,4,2.1,55,43,5.8,5.1,8.9,154.4,76.6,49,18,107,8.7,4.73,4.15,1,1
37,Taysom Hill,NOR,31,QB,12,9,4-1-2000,78,134,58.2,978,4,3,5,3.7,43,70,7.3,6.2,12.5,81.5,75.4,42.5,9,64,6.3,6.39,5.38,,
38,Tyrod Taylor,HOU,32,QB,6,6,2-4-2000,91,150,60.7,966,5,3.3,5,3.3,44,52,6.4,5.6,10.6,161,76.7,40.4,13,119,8,5.2,4.43,,
39,Mike White,NYJ,26,QB,4,3,1-2-2000,88,132,66.7,953,5,3.8,8,6.1,49,28,7.2,5.3,10.8,238.3,75.1,50.5,4,18,2.9,6.88,4.96,1,1
40,Mike Glennon,NYG,32,QB,6,4,0-4-0,90,167,53.9,790,4,2.4,10,6,43,60,4.7,2.5,8.8,131.7,49.7,11.9,9,68,5.1,4.1,2,,
41,Drew Lock,DEN,25,QB,6,3,0-3-0,67,111,60.4,787,2,1.8,2,1.8,32,44,7.1,6.6,11.7,131.2,80.4,23.4,9,52,7.5,6.13,5.71,,
42,Colt McCoy,ARI,35,QB,8,3,2-1-2000,74,99,74.7,740,3,3,1,1,39,50,7.5,7.6,10,92.5,101.4,54.5,6,40,5.7,6.67,6.81,,
43,Geno Smith,SEA,31,QB,4,3,1-2-2000,65,95,68.4,702,5,5.3,1,1.1,31,84,7.4,8,10.8,175.5,103,45.8,13,117,12,5.42,5.93,,
44,Cam Newton,CAR,32,QB,8,5,0-5-0,69,126,54.8,684,4,3.2,5,4,32,64,5.4,4.3,9.9,85.5,64.4,25.5,10,83,7.4,4.42,3.35,,
45,Josh Johnson,2TM,35,QB,4,1,0-1-0,57,85,67.1,638,5,5.9,2,2.4,39,28,7.5,7.6,11.2,159.5,99,51.7,3,23,3.4,6.99,7.1,,
46,Trey Lance,SFO,21,QB,6,2,1-1-2000,41,71,57.7,603,5,7,2,2.8,27,76,8.5,8.6,14.7,100.5,97.3,33.4,4,15,5.3,7.84,7.97,,
47,Tim Boyle,DET,27,QB,5,3,0-3-0,61,94,64.9,526,3,3.2,6,6.4,28,42,5.6,3.4,8.6,105.2,63.5,26.4,0,0,0,5.6,3.36,,
48,Case Keenum,CLE,33,QB,7,2,2-0-0,47,72,65.3,462,3,4.2,1,1.4,25,34,6.4,6.6,9.8,66,91.3,36.9,5,29,6.5,5.62,5.82,,
49,Gardner Minshew II,PHI,25,QB,4,2,1-1-2000,41,60,68.3,439,4,6.7,1,1.7,24,36,7.3,7.9,10.7,109.8,104.8,60.6,5,31,7.7,6.28,6.82,,
50,Cooper Rush,DAL,28,QB,5,1,1-0-0,30,47,63.8,422,3,6.4,1,2.1,18,73,9,9.3,14.1,84.4,105.1,41.8,3,19,6,8.06,8.36,1,1
51,Jordan Love,GNB,23,QB,6,1,0-1-0,36,62,58.1,411,2,3.2,3,4.8,22,62,6.6,5.1,11.4,68.5,68.7,31.4,3,23,4.6,5.97,4.51,,
52,P.J. Walker,CAR,26,QB,5,1,1-0-0,36,66,54.5,362,1,1.5,3,4.5,19,24,5.5,3.7,10.1,72.4,56.5,19.3,7,47,9.6,4.32,2.74,,
53,Joe Flacco,NYJ,36,QB,2,1,0-1-0,27,42,64.3,338,3,7.1,0,0,14,62,8,9.5,12.5,169,113,43.5,2,13,4.5,7.39,8.75,,
54,Mason Rudolph,PIT,26,QB,2,1,0-0-1,35,58,60.3,277,1,1.7,1,1.7,16,36,4.8,4.3,7.9,138.5,70.8,39.5,0,0,0,4.78,4.34,1,0
55,Nick Foles,CHI,32,QB,1,1,1-0-0,24,35,68.6,250,1,2.9,0,0,14,30,7.1,7.7,10.4,250,98.5,45.6,4,21,10.3,5.87,6.38,1,1
56,Brian Hoyer,NWE,36,QB,5,0,,9,11,81.8,227,1,9.1,0,0,8,48,20.6,22.5,25.2,45.4,149.1,97.4,0,0,0,20.64,22.45,,
57,Jake Fromm,NYG,23,QB,3,2,0-2-0,27,60,45,210,1,1.7,3,5,10,36,3.5,1.6,7.8,70,38.9,15.4,6,33,9.1,2.68,0.94,,
58,Garrett Gilbert,WAS,30,QB,1,1,0-1-0,20,31,64.5,194,0,0,0,0,8,46,6.3,6.3,9.7,194,81.9,39.6,2,20,6.1,5.27,5.27,,
59,Sean Mannion,MIN,29,QB,1,1,0-1-0,22,36,61.1,189,1,2.8,0,0,8,30,5.3,5.8,8.6,189,84.1,33.5,2,15,5.3,4.58,5.11,,
61,Brandon Allen,CIN,29,QB,6,1,0-1-0,17,34,50,149,2,5.9,0,0,5,26,4.4,5.6,8.8,24.8,81.6,8.4,4,33,10.5,3.05,4.11,0,1
62,Nick Mullens,CLE,26,QB,1,1,0-1-0,20,30,66.7,147,1,3.3,0,0,9,25,4.9,5.6,7.4,147,89.2,77.6,0,0,0,4.9,5.57,,
63,Ian Book,NOR,23,QB,1,1,0-1-0,12,20,60,135,0,0,2,10,5,56,6.8,2.3,11.3,135,40.6,2.2,8,54,28.6,2.89,-0.32,,
64,Kyle Allen,WAS,25,QB,2,0,,12,19,63.2,120,1,5.3,0,0,6,19,6.3,7.4,10,60,98.6,24.6,2,5,9.5,5.48,6.43,,
