,rb?,te?,age,max_ppg,last_pts,3_yr_trail_avg_fppg,hit_rate,Draft Pick,Breakout Age,cdr,id,year
392,1,0,25.6,3.5,3.5,3.5,0.0,,20.8,22.6,Trey Ragas,2022.0
393,1,0,23.3,3.1444,3.1444,3.1444,0.0,3.24,21.6,16.5,Trey Sermon,2022.0
394,1,0,31.3,,,,,,20.6,42.4,Trey Watts,2022.0
395,1,0,29.5,,,,,,,13.4,Trey Williams,2022.0
396,1,0,28.5,3.3,,2.1,0.0,,21.8,25.8,Troymaine Pope,2022.0
397,1,0,24.7,7.3125,7.3125,5.3938999999999995,0.0,6.13,19.0,17.0,Ty Johnson,2022.0
398,1,0,29.4,2.6333,2.1357,2.356333333333333,0.0,3.3,20.6,18.0,Ty Montgomery,2022.0
399,1,0,25.7,3.2231,3.2231,3.2231,0.0,,23.0,16.8,Ty'Son Williams,2022.0
400,1,0,28.7,3.2625,,1.9312500000000001,0.0,4.21,20.9,35.1,Tyler Ervin,2022.0
401,1,0,28.7,,,,,,19.0,43.4,Tyler Varga,2022.0
402,1,0,27.7,9.1067,1.6875,5.398066666666668,0.0,4.34,20.9,21.4,Wayne Gallman,2022.0
403,1,0,28.3,2.9,2.9,1.6666666666666667,0.0,5.14,21.6,22.3,Wendell Smallwood,2022.0
404,1,0,27.0,16.2,,16.2,1.0,,19.3,34.3,Wes Hills,2022.0
405,1,0,24.8,0.0,,0.0,0.0,,18.0,28.6,Xavier Jones,2022.0
406,1,0,31.1,,,,,5.27,18.4,28.7,Zac Stacy,2022.0
407,1,0,32.1,1.4,,1.4,0.0,,20.4,38.4,Zach Line,2022.0
408,1,0,30.7,1.2,,1.2,0.0,,21.0,45.4,Zach Zenner,2022.0
409,1,0,24.5,8.0923,8.0923,7.95385,0.0,3.22,19.7,35.7,Zack Moss,2022.0
410,1,0,32.1,,,,,,22.4,37.7,Zurlon Tipton,2022.0
411,0,0,24.9,17.6786,13.9154,15.064666666666666,0.3333333333333333,2.19,20.2,32.6,A.J. Brown,2022.0
412,0,0,33.8,9.8,9.8,8.3781,0.0,1.04,20.1,42.2,A.J. Green,2022.0
413,0,0,32.7,,,,,1.3,20.9,55.2,A.J. Jenkins,2022.0
414,0,0,28.4,,,,,6.38,21.7,32.6,Aaron Burbridge,2022.0
415,0,0,30.9,,,,,2.27,18.1,26.1,Aaron Dobson,2022.0
416,0,0,24.7,0.0,0.0,0.0,0.0,,20.9,25.6,Aaron Fuller,2022.0
417,0,0,24.0,0.0,0.0,0.0,0.0,,18.3,37.6,Aaron Parker,2022.0
418,0,0,30.6,,,,,4.04,20.8,24.1,Ace Sanders,2022.0
419,0,0,28.9,8.2571,4.6647,6.7072666666666665,0.0,,,9.4,Adam Humphries,2022.0
420,0,0,31.8,16.9333,15.3692,14.5675,0.6666666666666666,,20.0,45.9,Adam Thielen,2022.0
421,0,0,29.9,6.9,3.4286,5.1643,0.0,,20.2,59.9,Albert Wilson,2022.0
422,0,0,33.5,,,,,6.13,19.8,40.2,Aldrick Robinson,2022.0
423,0,0,26.0,0.0,-0.1,-0.05,0.0,,22.3,20.7,Alex Bachman,2022.0
424,0,0,29.6,6.0,0.5,2.6374999999999997,0.0,,21.8,27.9,Alex Erickson,2022.0
425,0,0,25.5,3.3,,3.3,0.0,,20.8,49.9,Alexander Hollins,2022.0
426,0,0,30.6,6.0,,6.0,0.0,,19.8,28.8,Allen Hurns,2022.0
427,0,0,26.5,9.78,9.5,9.526666666666666,0.0,,19.7,33.1,Allen Lazard,2022.0
428,0,0,28.8,16.4312,7.25,13.193733333333334,0.6666666666666666,2.29,19.0,37.9,Allen Robinson,2022.0
429,0,0,32.3,13.6,,8.47855,0.0,2.13,19.6,39.7,Alshon Jeffery,2022.0
430,0,0,28.3,,,,,3.42,20.6,33.1,Amara Darboh,2022.0
431,0,0,28.0,15.4,13.5,14.566666666666668,0.3333333333333333,1.04,18.2,47.2,Amari Cooper,2022.0
432,0,0,22.7,0.6,0.6,0.6,0.0,3.21,21.0,23.5,Amari Rodgers,2022.0
433,0,0,22.6,13.3706,13.3706,13.3706,0.0,4.07,18.9,33.1,Amon-Ra St. Brown,2022.0
434,0,0,37.1,,,,,3.34,22.4,28.2,Andre Caldwell,2022.0
435,0,0,34.0,,,,,,21.2,41.9,Andre Holmes,2022.0
436,0,0,40.9,,,,,1.03,20.2,28.8,Andre Johnson,2022.0
437,0,0,28.0,1.7,,1.7,0.0,,22.3,36.6,Andre Patton,2022.0
438,0,0,34.4,0.65,0.65,0.4189,0.0,3.24,18.7,46.1,Andre Roberts,2022.0
439,0,0,36.2,,,,,,,7.7,Andrew Hawkins,2022.0
440,0,0,25.5,4.2154,0.2875,2.567633333333333,0.0,2.3,19.8,52.2,Andy Isabella,2022.0
441,0,0,27.9,,,,,,21.2,29.7,Andy Jones,2022.0
442,0,0,41.7,,,,,2.22,19.9,41.2,Anquan Boldin,2022.0
443,0,0,27.6,8.0,4.8333,6.542366666666667,0.0,2.19,21.9,39.9,Anthony Miller,2022.0
444,0,0,21.7,2.3857,2.3857,2.3857,0.0,3.27,20.0,28.2,Anthony Schwartz,2022.0
445,0,0,24.6,3.8533,3.8533,3.8533,0.0,,20.9,32.7,Antoine Wesley,2022.0
446,0,0,33.9,17.3,17.3,16.0125,0.6666666666666666,6.26,19.2,32.8,Antonio Brown,2022.0
447,0,0,25.4,4.2,,2.5,0.0,4.05,18.7,,Antonio Callaway,2022.0
448,0,0,24.1,0.5833,0.0,0.29165,0.0,4.36,19.4,40.5,Antonio Gandy-Golden,2022.0
449,0,0,28.5,,,,,3.15,22.7,36.4,ArDarius Stewart,2022.0
450,0,0,33.7,,,,,2.07,19.0,20.2,Arrelious Benn,2022.0
451,0,0,25.0,2.6765,2.6765,1.4332,0.0,,18.3,60.9,Ashton Dulin,2022.0
452,0,0,25.3,8.5,1.8429,4.5217,0.0,7.35,19.6,37.4,Auden Tate,2022.0
453,0,0,28.4,1.95,,1.475,0.0,,21.7,46.8,Austin Carr,2022.0
454,0,0,24.7,1.4636,,1.4636,0.0,,,11.2,Austin Mack,2022.0
455,0,0,34.3,,,,,3.14,20.6,27.8,Austin Pettis,2022.0
456,0,0,30.1,,,,,,19.4,25.3,Ben Edwards,2022.0
457,0,0,24.9,1.7357,1.7357,1.7357,0.0,7.21,20.2,28.9,Ben Skowronek,2022.0
458,0,0,31.0,5.5,,3.06,0.0,,21.2,28.4,Bennie Fowler,2022.0
459,0,0,30.4,,,,,,19.7,38.0,Bernard Reedy,2022.0
