,id,0,1,y,starter,age,max_pts,avg_pts,last_pts,3_yr_trail_avg_fppg,hit_rate,Draft Pick,supporting_cast,breakout_age,konami,games_played_rate
0,Russell Wilson,0.12621737,0.87378263,1,1,29.5,355.2,327.2,355.2,20.3,0.75,3.12,0.435971884,19.8,2.75,1.0
1,Andrew Luck,0.15531087,0.84468913,1,1,28.700000000000003,368.0,275.06666666666666,,20.6,0.6666666666666666,1.01,0.634443823,20.0,1.6666666666666667,0.7916666666666666
2,Cam Newton,0.25304747,0.74695253,0,1,29.1,398.4,308.75,313.6,20.7,0.5,1.01,1.653784566,21.3,6.5,0.953125
3,Deshaun Watson,0.31909359,0.6809064,1,1,22.7,172.9,172.9,172.9,24.7,0.0,1.12,1.107937445,20.0,2.0,0.4375
4,Aaron Rodgers,0.3942328,0.6057672,1,1,34.5,382.4,293.95,135.8,20.7,0.75,1.24,1.087887432,19.8,1.75,0.859375
5,Drew Brees,0.40713805,0.59286195,1,1,39.4,347.2,313.525,270.4,19.9,0.75,2.01,2.345428517,19.6,1.5,0.984375
6,Matt Ryan,0.41974294,0.58025706,1,1,33.1,350.4,283.6,240.0,17.466666666666665,0.25,1.03,1.43276198,20.3,0.0,1.0
7,Ben Roethlisberger,0.48945594,0.51054406,1,1,36.3,305.6,265.65,270.0,18.5,0.25,1.11,1.437954871,19.5,0.25,0.890625
8,Patrick Mahomes,0.54288995,0.45711008,1,1,22.7,11.4,11.4,11.4,11.4,0.0,1.1,2.27614162,19.0,0.0,0.0625
9,Jared Goff,0.62665105,0.37334892,1,1,23.6,262.5,161.35,262.5,13.05,0.0,1.01,2.01116402,18.9,1.0,0.6875
10,Dak Prescott,0.7833935,0.2166065,0,1,24.8,291.2,282.4,273.6,17.65,0.0,4.37,1.298836498,20.1,6.0,1.0
11,Alex Smith,0.84157085,0.15842916,0,1,34.1,300.0,257.025,300.0,17.433333333333334,0.0,1.01,0.6591259780000001,19.3,2.25,0.953125
12,Philip Rivers,0.854375,0.145625,0,1,36.5,292.8,284.0,280.0,17.766666666666666,0.0,1.04,1.57443667,18.7,0.0,1.0
13,Tom Brady,0.8685367,0.1314633,0,1,40.8,352.0,298.9,299.2,20.733333333333334,0.25,6.33,1.015516674,21.1,0.75,0.9375
14,Kirk Cousins,0.8936943,0.106305726,0,1,29.799999999999997,312.0,250.3,291.2,18.833333333333332,0.5,4.07,0.921687077,21.0,3.25,0.84375
15,Blake Bortles,0.91915035,0.080849655,0,1,26.4,332.8,263.45000000000005,256.0,18.133333333333336,0.25,1.03,0.861946731,20.7,1.75,0.96875
16,Eli Manning,0.94354075,0.056459237,0,1,37.4,300.8,256.25,201.0,15.733333333333333,0.25,1.01,1.388428417,20.7,0.5,0.984375
17,Matthew Stafford,0.9508615,0.049138464,0,1,30.299999999999997,302.4,282.8,280.0,18.133333333333333,0.25,1.01,1.03548086,19.6,1.25,1.0
18,Teddy Bridgewater,0.96154076,0.038459245,0,0,25.6,208.0,131.29999999999998,-1.3,5.85,0.0,1.32,2.345428517,18.8,1.3333333333333333,0.625
19,Jameis Winston,0.9621424,0.03785757,0,1,24.4,286.4,255.26666666666668,210.6,16.96666666666667,0.0,1.01,1.080716811,19.7,2.6666666666666665,0.9375
20,Chad Henne,0.97508687,0.02491314,0,0,32.9,162.0,48.15,-0.4,3.4666666666666672,0.0,2.26,2.27614162,20.2,0.0,0.328125
