,y,rb?,te?,age,max_pts,avg_pts,last_pts,3_yr_trail_avg_fppg,injury_risk,last_yr_games_played,hit_rate,Draft Pick,Breakout Age,cdr
1004,0,0,1,28.9,171.0,94.95,91.0,7.2,0.7604166666666666,14.0,0.0,,20.2,19.7
1005,0,0,1,26.7,9.3,4.65,9.3,1.55,0.15625,3.0,0.0,,,10.8
1008,0,0,1,22.6,,,,,,,,6.11,,5.5
1012,0,0,1,24.3,113.39999999999999,57.55,1.7,4.8999999999999995,0.46875,1.0,0.0,4.07,,18.0
1013,0,0,1,24.6,,,,,,,,,,5.1
1018,0,0,1,21.4,,,,,,,,4.27,18.7,18.7
1020,0,0,1,21.2,,,,,,,,2.11,20.5,20.8
1022,0,0,1,26.4,,,,,,,,,,3.1
1027,0,0,1,25.4,144.0,117.5,144.0,8.05,0.90625,15.0,0.0,2.17,21.7,30.7
1028,0,0,1,21.1,,,,,,,,3.37,,19.3
1029,0,0,1,23.9,23.8,12.65,1.5,1.8499999999999999,0.375,5.0,0.0,4.37,,11.4
1030,0,0,1,25.2,32.9,32.7,32.5,5.6,0.375,5.0,0.0,,20.5,38.4
1031,0,0,1,28.0,34.2,23.25,20.3,2.9,0.40625,7.0,0.0,,21.3,24.1
1033,0,0,1,25.1,,,,,,,,,,9.5
1035,0,0,1,25.5,5.4,2.3000000000000003,1.5,0.39999999999999997,0.3125,5.0,0.0,,,11.8
1036,0,0,1,27.7,220.8,67.675,220.8,9.5,0.46875,16.0,0.0,6.28,22.0,32.1
1040,0,0,1,23.9,144.0,84.46666666666667,15.0,6.833333333333333,0.7083333333333334,3.0,0.0,1.29,20.2,24.6
1042,0,0,1,23.5,79.5,79.5,79.5,5.3,0.9375,15.0,0.0,3.32,,4.2
1045,0,0,1,25.2,8.100000000000001,8.100000000000001,8.100000000000001,2.7,0.1875,3.0,0.0,,22.5,22.6
1046,0,0,1,29.8,37.4,21.299999999999997,32.4,2.6666666666666665,0.4583333333333333,9.0,0.0,,18.1,66.4
1047,0,0,1,22.8,,,,,,,,3.27,,19.5
1049,0,0,1,23.0,,,,,,,,,,9.9
1051,0,0,1,22.8,,,,,,,,,19.1,48.9
1052,0,0,1,24.1,8.0,8.0,8.0,1.6,0.3125,5.0,0.0,2.2,,10.5
1053,0,0,1,24.8,14.0,12.4,14.0,1.6,0.5,10.0,0.0,4.23,,8.8
1058,0,0,1,27.1,222.4,128.63333333333333,86.9,10.033333333333333,0.8541666666666666,11.0,0.0,1.1,19.4,18.8
1059,0,0,1,26.1,10.0,4.666666666666667,4.0,1.3333333333333333,0.1875,2.0,0.0,5.31,20.4,31.6
1060,0,0,1,28.1,26.4,10.725,1.1,1.933333333333333,0.328125,1.0,0.0,,,9.6
1062,0,0,1,26.5,0.0,0.0,,0.0,0.0625,,0.0,,,4.2
1063,0,0,1,25.7,174.0,135.96666666666667,109.6,12.199999999999998,0.7083333333333334,8.0,0.0,1.23,22.0,29.5
1064,0,0,1,23.1,68.2,68.2,68.2,6.2,0.6875,11.0,0.0,4.35,,12.3
1068,0,0,1,26.2,1.4,1.4,,1.4,0.0625,,0.0,,20.5,25.3
1072,0,0,1,26.7,55.800000000000004,18.6,19.200000000000003,3.5,0.35,6.0,0.0,7.29,,4.9
1073,0,0,1,26.6,256.0,195.03333333333333,222.6,13.0,0.9375,14.0,0.0,5.02,21.9,23.2
1075,0,0,1,25.9,90.0,75.33333333333333,90.0,5.7,0.8333333333333334,12.0,0.0,2.12,21.2,31.7
1077,0,0,1,35.2,227.2,149.68333333333334,123.20000000000002,7.900000000000001,0.8125,14.0,0.0,1.31,20.5,16.7
1078,0,0,1,24.0,,,,,,,,4.01,21.3,43.5
1080,0,0,1,23.8,24.5,24.5,24.5,4.9,0.3125,5.0,0.0,,,11.5
1081,0,0,1,22.1,,,,,,,,4.09,19.4,26.2
1082,0,0,1,26.8,76.8,55.95,76.8,4.35,0.78125,16.0,0.0,1.25,,15.6
1085,0,0,1,20.8,,,,,,,,,20.0,20.9
1086,0,0,1,25.5,147.60000000000002,134.93333333333334,147.60000000000002,11.45,0.7708333333333334,12.0,0.0,2.04,18.7,20.1
1090,0,0,1,24.0,81.0,58.5,36.0,5.85,0.625,10.0,0.0,4.01,,19.1
1092,0,0,1,21.8,78.39999999999999,78.39999999999999,78.39999999999999,5.6,0.875,14.0,0.0,2.18,,14.0
1093,0,0,1,23.0,3.2,3.2,3.2,1.6,0.125,2.0,0.0,7.1,,13.9
1094,0,0,1,23.4,33.300000000000004,33.300000000000004,33.300000000000004,3.7,0.5625,9.0,0.0,2.25,19.7,42.7
1095,0,0,1,26.7,16.200000000000003,16.200000000000003,16.200000000000003,2.7,0.375,6.0,0.0,,,16.6
1097,0,0,1,23.9,0.0,0.0,0.0,0.0,0.125,2.0,0.0,3.11,22.2,32.7
1098,0,0,1,30.1,169.5,92.51666666666667,112.0,9.466666666666667,0.75,16.0,0.0,,20.3,23.9
1101,0,0,1,26.5,94.0,37.4,94.0,5.0,0.4375,10.0,0.0,,22.8,23.4
1103,0,0,1,24.6,30.0,30.0,30.0,5.0,0.375,6.0,0.0,,,18.1
1104,0,0,1,24.9,16.5,16.5,,5.5,0.1875,,0.0,5.01,19.2,22.1
1108,0,0,1,28.4,44.800000000000004,27.419999999999998,41.5,4.6000000000000005,0.5625,5.0,0.0,5.37,22.6,22.2
1109,0,0,1,33.1,193.6,130.66666666666666,168.0,10.799999999999999,0.9166666666666666,14.0,0.0,3.25,21.4,17.4
1111,0,0,1,26.2,55.5,55.5,,3.7,0.9375,,0.0,,,9.7
1112,0,0,1,38.1,164.8,153.8,137.6,8.95,0.9875,16.0,0.0,3.05,20.3,27.0
