,y,rb?,te?,age,max_pts,avg_pts,last_pts,3_yr_trail_avg_fppg,injury_risk,last_yr_games_played,hit_rate,Draft Pick,Breakout Age,cdr
1,0,1,0,22.5,,,,,,,,5.39,18.8,47.0
2,0,1,0,24.4,47.0,24.9,47.0,3.75,0.34375,10.0,0.0,6.3,,3.9
3,0,1,0,32.2,260.8,93.7,9.0,10.200000000000001,0.4166666666666667,3.0,0.0,1.07,19.5,42.7
5,0,1,0,24.3,19.599999999999998,18.2,16.8,2.45,0.46875,8.0,0.0,,20.5,27.1
7,0,1,0,23.0,,,,,,,,6.08,,3.2
8,0,1,0,22.8,36.0,36.0,36.0,4.0,0.5625,9.0,0.0,5.34,19.0,29.9
11,0,1,0,26.1,112.0,90.39999999999999,61.60000000000001,6.166666666666667,0.9166666666666666,14.0,0.0,6.05,21.4,14.4
12,0,1,0,28.5,187.2,107.93333333333334,40.6,6.866666666666666,0.9583333333333334,14.0,0.0,6.03,20.7,50.0
14,1,1,0,21.9,,,,,,,,3.03,20.1,23.3
15,0,1,0,24.0,116.8,71.8,26.8,10.35,0.5625,2.0,0.0,2.22,19.2,34.6
16,0,1,0,28.299999999999997,177.60000000000002,94.0,29.400000000000002,8.133333333333335,0.75,14.0,0.0,6.19,21.6,26.0
17,0,1,0,24.8,145.6,62.633333333333326,8.7,6.633333333333333,0.6875,1.0,0.0,4.13,19.0,44.8
18,0,1,0,24.0,18.900000000000002,18.900000000000002,18.900000000000002,2.7,0.4375,7.0,0.0,6.01,,5.7
21,0,1,0,28.5,24.0,12.033333333333333,4.8999999999999995,1.3,0.5208333333333334,7.0,0.0,5.05,,3.4
27,0,1,0,22.0,,,,,,,,,18.3,45.7
31,0,1,0,26.9,124.8,74.83333333333333,35.2,5.1000000000000005,0.875,11.0,0.0,,21.2,38.6
34,0,1,0,28.6,190.4,122.10000000000001,190.4,9.033333333333333,0.8541666666666666,16.0,0.0,4.29,20.9,37.2
37,0,1,0,29.6,111.0,51.699999999999996,39.6,3.766666666666667,0.8541666666666666,11.0,0.0,,21.9,48.2
40,0,1,0,26.1,145.6,90.3,,7.7,0.65625,,0.0,,20.3,38.3
41,0,1,0,27.299999999999997,69.3,30.433333333333334,4.0,3.1,0.5,4.0,0.0,,20.6,29.0
44,0,1,0,21.6,,,,,,,,5.12,18.8,34.2
45,0,1,0,24.4,1.1,1.1,1.1,1.1,0.0625,1.0,0.0,,19.7,20.5
48,0,1,0,23.3,10.4,10.4,10.4,5.2,0.125,2.0,0.0,,19.6,13.4
49,0,1,0,26.3,211.4,151.53333333333333,102.2,13.033333333333333,0.75,7.0,0.0,,20.6,18.2
50,0,1,0,23.9,,,,,,,,,20.1,29.9
51,0,1,0,23.0,61.199999999999996,61.199999999999996,61.199999999999996,10.2,0.375,6.0,0.0,3.27,21.3,26.2
52,0,1,0,29.799999999999997,80.60000000000001,54.96666666666667,18.6,5.533333333333334,0.5833333333333334,6.0,0.0,1.09,19.1,33.8
54,0,1,0,26.9,35.400000000000006,31.950000000000003,28.5,7.7,0.28125,3.0,0.0,5.38,24.2,25.7
55,0,1,0,26.7,189.79999999999998,115.06666666666666,189.79999999999998,10.5,0.7083333333333334,13.0,0.0,2.25,21.0,29.8
57,0,1,0,26.0,133.0,75.83333333333333,94.5,5.266666666666667,0.625,15.0,0.0,,21.3,24.9
58,0,1,0,26.7,179.2,102.63333333333333,67.89999999999999,9.499999999999998,0.6458333333333334,7.0,0.0,3.05,19.0,35.8
60,0,1,0,22.7,,,,,,,,7.31,22.0,14.6
62,0,1,0,29.200000000000003,202.5,149.70000000000002,94.6,10.533333333333333,0.875,11.0,0.0,,21.5,14.2
63,0,1,0,31.700000000000003,115.2,79.16666666666666,15.6,6.933333333333333,0.6458333333333334,4.0,0.0,1.24,19.0,42.5
66,0,1,0,26.6,147.2,85.16666666666667,147.2,8.1,0.6458333333333334,16.0,0.0,5.21,19.9,17.7
67,0,1,0,21.0,,,,,,,,1.08,19.2,50.7
72,0,1,0,26.2,132.6,76.06666666666666,132.6,4.6000000000000005,0.9791666666666666,17.0,0.0,1.29,21.5,17.1
73,0,1,0,22.6,,,,,,,,,18.8,33.1
74,0,1,0,25.5,36.0,18.75,36.0,2.15,0.4375,9.0,0.0,,,8.2
79,0,1,0,21.1,,,,,,,,3.25,19.4,36.5
80,0,1,0,23.5,3.5999999999999996,3.5999999999999996,3.5999999999999996,1.2,0.1875,3.0,0.0,,19.8,18.8
81,0,1,0,21.8,,,,,,,,2.09,19.1,38.8
85,0,1,0,25.2,93.0,65.93333333333334,93.0,4.466666666666667,0.9166666666666666,15.0,0.0,,20.4,20.0
87,0,1,0,23.6,6.5,6.5,6.5,1.3,0.3125,5.0,0.0,6.22,,12.5
90,0,1,0,32.4,243.2,94.23333333333333,27.2,10.966666666666667,0.4375,2.0,0.0,,19.6,52.0
96,0,1,0,29.799999999999997,193.6,109.03333333333335,13.5,8.033333333333333,0.7291666666666666,3.0,0.0,1.04,18.0,32.1
97,0,1,0,34.0,162.0,152.1,162.0,9.933333333333334,0.9583333333333334,15.0,0.0,4.29,19.2,34.1
103,0,1,0,25.3,,,,,,,,,20.6,32.7
104,0,1,0,25.5,406.4,308.0,406.4,19.25,1.0,16.0,0.5,3.22,19.7,43.2
107,0,1,0,24.5,,,,,,,,6.19,21.8,40.2
109,0,1,0,22.6,,,,,,,,,19.8,17.2
110,0,1,0,24.3,85.8,85.8,85.8,6.6,0.8125,13.0,0.0,5.04,21.5,23.4
112,0,1,0,29.299999999999997,350.4,276.43333333333334,294.4,17.533333333333335,0.9791666666666666,16.0,0.3333333333333333,3.07,19.6,29.8
115,0,1,0,24.6,12.6,12.6,12.6,1.8,0.4375,7.0,0.0,6.23,,2.1
116,0,1,0,26.6,11.0,7.5,,3.15,0.21875,,0.0,,19.9,20.9
118,0,1,0,23.4,105.0,105.0,105.0,7.5,0.875,14.0,0.0,2.14,20.7,43.5
121,0,1,0,23.0,,,,,,,,7.2,21.3,17.5
124,0,1,0,25.2,316.5,229.76666666666665,284.8,14.800000000000002,0.9791666666666666,16.0,0.3333333333333333,4.03,19.5,17.8
125,0,1,0,25.0,142.4,142.4,142.4,8.9,1.0,16.0,0.0,4.38,22.3,40.1
128,0,1,0,26.7,120.39999999999999,87.5,54.6,12.5,0.4375,7.0,0.0,5.18,18.9,35.2
132,0,1,0,28.4,232.0,132.63333333333333,85.6,10.833333333333334,0.7291666666666666,8.0,0.0,1.31,20.6,24.3
135,0,1,0,23.7,164.8,154.4,144.0,9.65,1.0,16.0,0.0,3.13,19.0,33.0
136,0,1,0,23.1,48.400000000000006,48.400000000000006,48.400000000000006,4.4,0.6875,11.0,0.0,7.15,20.4,20.1
137,0,1,0,27.0,272.0,152.0,43.0,11.666666666666666,0.75,5.0,0.0,2.29,21.3,26.1
140,0,1,0,23.0,,,,,,,,6.04,19.3,32.1
142,0,1,0,23.8,,,,,,,,,21.1,31.1
144,0,1,0,21.9,325.5,325.5,325.5,21.7,0.9375,15.0,1.0,1.04,19.1,37.8
145,0,1,0,27.1,12.0,7.666666666666667,12.0,1.9333333333333333,0.3541666666666667,12.0,0.0,,21.3,24.2
146,0,1,0,28.299999999999997,72.0,48.199999999999996,72.0,3.9,0.7916666666666666,16.0,0.0,,22.6,15.3
147,0,1,0,34.1,214.4,188.79999999999998,214.4,11.799999999999999,1.0,16.0,0.0,3.01,20.3,26.4
154,0,1,0,25.5,188.5,163.76666666666668,122.0,12.666666666666666,0.8125,10.0,0.0,2.05,19.8,35.6
157,0,1,0,24.4,204.8,155.13333333333333,204.8,9.866666666666665,0.9791666666666666,16.0,0.0,,18.7,27.2
160,0,1,0,23.8,3.8,3.8,3.8,3.8,0.0625,1.0,0.0,,,10.2
167,0,1,0,27.299999999999997,91.0,59.0,91.0,5.1000000000000005,0.6458333333333334,10.0,0.0,5.14,18.6,41.7
171,0,1,0,23.6,115.2,115.2,115.2,7.2,1.0,16.0,0.0,,18.9,22.6
172,0,1,0,26.9,22.400000000000002,12.600000000000001,2.8,1.9500000000000002,0.34375,4.0,0.0,4.09,,5.2
173,0,1,0,30.4,250.5,121.66666666666667,13.5,13.799999999999999,0.4791666666666667,3.0,0.0,3.1,18.7,30.9
174,0,1,0,22.2,,,,,,,,4.28,17.4,36.4
175,0,1,0,22.1,,,,,,,,3.41,18.3,34.4
178,0,1,0,25.3,161.6,98.36666666666667,161.6,8.0,0.6458333333333334,16.0,0.0,4.3,18.6,27.1
179,0,1,0,28.1,57.2,36.800000000000004,57.2,3.4,0.6458333333333334,13.0,0.0,,,0.6
184,0,1,0,25.8,145.6,76.7,7.800000000000001,5.85,0.59375,3.0,0.0,4.26,22.0,26.9
185,0,1,0,24.0,216.0,128.25,216.0,9.45,0.75,15.0,0.0,5.13,20.2,41.3
186,0,1,0,24.8,3.5,3.0666666666666664,2.5,0.6666666666666666,0.2916666666666667,5.0,0.0,6.35,,3.2
190,0,1,0,24.6,211.2,185.4,177.0,11.833333333333334,0.9791666666666666,15.0,0.0,2.23,19.9,29.0
196,0,1,0,24.7,0.0,0.0,0.0,0.0,0.0625,1.0,0.0,,,2.1
197,0,1,0,20.9,,,,,,,,2.16,19.1,24.7
201,0,1,0,34.7,57.2,34.56666666666667,57.2,3.0,0.7083333333333334,13.0,0.0,,20.0,38.8
207,0,1,0,30.200000000000003,162.5,151.66666666666666,146.9,11.666666666666666,0.8125,13.0,0.0,1.13,19.5,26.6
211,0,1,0,22.6,229.5,229.5,229.5,15.3,0.9375,15.0,0.0,5.11,18.8,29.3
213,0,1,0,27.299999999999997,75.2,27.733333333333334,6.0,1.866666666666667,0.6875,12.0,0.0,6.18,19.5,48.2
217,0,1,0,24.0,35.1,35.1,35.1,2.7,0.8125,13.0,0.0,,20.3,25.9
225,0,1,0,21.6,,,,,,,,,17.8,14.5
231,0,1,0,24.4,28.8,14.4,28.8,1.6,0.3125,9.0,0.0,,20.7,38.6
232,0,1,0,21.8,,,,,,,,3.22,18.1,28.7
239,0,1,0,28.1,34.1,27.85,34.1,3.35,0.53125,11.0,0.0,6.14,22.4,28.3
243,0,1,0,23.3,43.5,43.5,43.5,2.9,0.9375,15.0,0.0,3.1,19.6,13.2
246,0,1,0,26.0,29.2,26.133333333333336,29.2,5.933333333333334,0.2916666666666667,4.0,0.0,7.24,21.2,35.6
252,0,1,0,26.1,97.6,69.53333333333333,72.0,4.533333333333333,0.9375,16.0,0.0,4.33,,15.0
255,0,1,0,26.1,232.0,216.46666666666667,191.79999999999998,14.1,0.9583333333333334,14.0,0.0,4.02,19.4,27.8
257,0,1,0,27.4,49.2,45.199999999999996,37.4,6.3999999999999995,0.6041666666666666,11.0,0.0,,19.6,40.6
259,0,1,0,27.4,208.6,165.86666666666667,208.6,11.399999999999999,0.8958333333333334,14.0,0.0,6.13,20.6,34.7
260,1,1,0,25.3,371.2,265.93333333333334,315.6,22.666666666666668,0.7083333333333334,12.0,0.6666666666666666,2.16,18.5,45.1
261,0,1,0,30.5,233.6,151.16666666666666,233.6,10.433333333333332,0.8958333333333334,16.0,0.0,,21.8,16.3
262,0,1,0,28.9,297.0,224.46666666666667,297.0,15.666666666666666,0.8958333333333334,15.0,0.0,2.21,19.2,47.1
263,0,1,0,22.0,,,,,,,,,20.3,25.8
264,0,1,0,22.4,,,,,,,,1.04,19.6,38.8
267,0,1,0,25.7,15.0,15.0,15.0,7.5,0.125,2.0,0.0,,22.0,8.6
268,0,1,0,24.4,10.0,6.25,10.0,1.75,0.34375,10.0,0.0,,18.7,20.6
271,0,1,0,25.7,1.2,-0.7000000000000001,1.2,0.19999999999999998,0.46875,2.0,0.0,7.13,22.9,17.0
273,0,1,0,27.4,238.4,210.79999999999998,238.4,15.5,0.8541666666666666,16.0,0.0,1.28,18.7,32.8
275,0,1,0,21.2,,,,,,,,4.37,18.5,29.8
276,0,1,0,22.9,,,,,,,,7.22,,1.2
277,0,1,0,31.1,302.4,191.45,,15.2,0.71875,,0.5,1.12,18.4,31.9
279,0,1,0,22.3,,,,,,,,,19.5,21.8
280,0,1,0,31.5,342.4,246.3333333333333,183.4,16.966666666666665,0.8958333333333334,14.0,0.3333333333333333,2.13,18.7,57.3
281,0,1,0,24.2,114.4,95.0,75.60000000000001,9.8,0.625,7.0,0.0,3.31,20.5,20.8
282,0,1,0,22.7,,,,,,,,7.34,20.0,29.0
285,0,1,0,24.1,250.9,179.35,250.9,13.5,0.84375,13.0,0.0,1.15,20.4,47.1
290,0,1,0,25.3,16.0,8.0,0.0,1.0,0.28125,1.0,0.0,5.32,,3.3
291,0,1,0,24.3,16.5,15.600000000000001,14.700000000000001,2.7,0.375,7.0,0.0,4.27,20.5,23.6
292,0,1,0,24.3,16.5,15.600000000000001,14.700000000000001,2.7,0.375,7.0,0.0,,18.3,39.0
293,0,1,0,26.6,126.0,88.75,126.0,9.350000000000001,0.625,15.0,0.0,5.31,21.8,30.8
295,0,1,0,31.5,83.2,48.833333333333336,34.5,3.7000000000000006,0.8125,15.0,0.0,,21.8,21.9
305,0,1,0,25.3,27.2,23.900000000000002,26.5,4.3999999999999995,0.3541666666666667,5.0,0.0,,18.5,32.3
306,0,1,0,28.1,36.0,25.0,18.0,2.5,0.625,10.0,0.0,,,4.4
309,0,1,0,22.5,77.0,77.0,77.0,5.5,0.875,14.0,0.0,5.1,19.8,28.4
310,0,1,0,22.9,36.0,36.0,36.0,3.6,0.625,10.0,0.0,,21.2,30.9
315,0,1,0,25.1,0.6,-0.5,0.6,0.19999999999999998,0.28125,1.0,0.0,,,12.3
321,0,1,0,26.9,75.9,40.233333333333334,75.9,4.7,0.5625,11.0,0.0,6.22,19.2,28.0
324,0,1,0,24.7,133.0,133.0,133.0,9.5,0.875,14.0,0.0,,19.9,11.4
326,0,1,0,27.5,108.0,72.73333333333333,108.0,5.133333333333333,0.8541666666666666,15.0,0.0,4.11,18.8,35.0
328,0,1,0,25.4,2.0,1.8,1.6,0.45,0.25,4.0,0.0,,,7.6
338,0,1,0,26.4,18.900000000000002,13.366666666666669,3.2,2.1,0.375,2.0,0.0,,,3.4
343,0,1,0,21.7,,,,,,,,4.07,19.0,27.8
346,0,1,0,25.7,0.8,0.8,,0.1,0.5,,0.0,,21.0,18.3
348,0,1,0,28.1,166.4,120.93333333333334,38.0,9.299999999999999,0.7708333333333334,5.0,0.0,2.24,20.3,40.0
357,0,1,0,28.299999999999997,52.199999999999996,21.900000000000002,0.7,3.666666666666666,0.3125,1.0,0.0,3.09,21.6,32.8
361,0,1,0,23.7,156.0,147.0,138.0,11.1,0.84375,15.0,0.0,2.04,18.9,22.5
362,0,1,0,28.9,28.6,18.150000000000002,7.700000000000001,1.85,0.5625,7.0,0.0,4.28,21.1,41.2
364,0,1,0,21.9,,,,,,,,4.13,18.1,40.8
367,0,1,0,26.2,192.0,143.0,147.0,9.266666666666667,0.9583333333333334,15.0,0.0,1.08,19.5,26.3
368,0,1,0,26.3,171.2,103.13333333333333,171.2,7.3,0.7916666666666666,16.0,0.0,3.3,20.6,46.9
369,0,1,0,23.8,10.3,10.3,10.3,10.3,0.0625,1.0,0.0,,18.0,53.8
371,0,1,0,25.3,32.0,24.5,17.0,3.3,0.46875,5.0,0.0,,22.6,29.4
372,0,1,0,24.2,191.1,117.15,191.1,9.15,0.78125,13.0,0.0,3.09,20.4,43.2
373,0,1,0,26.1,179.2,145.36666666666665,162.0,11.566666666666668,0.8125,10.0,0.0,6.31,21.3,21.5
374,0,1,0,23.8,127.19999999999999,101.4,75.60000000000001,9.5,0.65625,9.0,0.0,,19.1,25.9
376,0,1,0,23.5,,,,,,,,,,13.8
378,1,1,0,22.8,208.0,203.2,198.4,14.2,0.90625,16.0,0.0,1.1,18.1,33.2
379,0,1,0,26.7,10.0,7.65,,3.65,0.1875,,0.0,7.09,,13.6
384,0,1,0,28.299999999999997,93.8,70.53333333333333,93.8,6.466666666666666,0.7083333333333334,14.0,0.0,,22.6,18.8
387,0,1,0,23.8,,,,,,,,,20.1,16.8
391,0,1,0,22.4,,,,,,,,,18.7,18.7
398,0,1,0,24.4,141.0,91.5,141.0,8.2,0.65625,15.0,0.0,3.3,20.6,18.0
400,0,1,0,23.7,1.2000000000000002,1.2000000000000002,1.2000000000000002,0.1,0.75,12.0,0.0,4.21,20.9,35.1
402,0,1,0,22.7,,,,,,,,4.34,20.9,21.4
403,0,1,0,23.3,46.8,46.8,46.8,3.9,0.75,12.0,0.0,5.14,21.6,22.3
407,0,1,0,27.1,34.1,17.650000000000002,1.2000000000000002,1.6500000000000001,0.53125,6.0,0.0,,20.4,38.4
408,0,1,0,25.7,93.5,51.35,93.5,5.4,0.46875,11.0,0.0,,21.0,45.4
412,0,0,0,28.799999999999997,273.6,221.60000000000002,186.0,17.6,0.7916666666666666,10.0,0.0,1.04,20.1,42.2
419,0,0,0,23.9,130.5,94.95,130.5,7.05,0.8125,15.0,0.0,,,9.4
420,0,0,0,26.8,195.2,84.0,195.2,6.3999999999999995,0.6666666666666666,16.0,0.0,,20.0,45.9
421,0,0,0,24.9,95.2,73.36666666666667,82.60000000000001,5.8,0.7708333333333334,14.0,0.0,,20.2,59.9
422,0,0,0,28.5,63.7,32.65,63.7,2.85,0.46875,13.0,0.0,6.13,19.8,40.2
424,0,0,0,24.6,12.8,12.8,12.8,0.8,1.0,16.0,0.0,,21.8,27.9
426,0,0,0,25.6,225.0,160.46666666666667,101.19999999999999,11.299999999999999,0.875,11.0,0.0,,19.8,28.8
428,0,0,0,23.8,304.0,205.26666666666665,196.8,14.266666666666666,0.875,16.0,0.3333333333333333,2.29,19.0,37.9
429,0,0,0,27.299999999999997,262.4,189.06666666666663,146.39999999999998,15.4,0.7708333333333334,12.0,0.0,2.13,19.6,39.7
430,0,0,0,23.3,,,,,,,,3.42,20.6,33.1
431,0,0,0,23.0,228.8,220.8,228.8,13.8,1.0,16.0,0.0,1.04,18.2,47.2
435,0,0,0,29.0,141.0,81.5,45.0,5.633333333333333,0.8958333333333334,15.0,0.0,,21.2,41.9
438,0,0,0,29.4,91.2,50.93333333333334,36.8,3.7000000000000006,0.8333333333333334,16.0,0.0,3.24,18.7,46.1
446,1,0,0,28.9,379.2,354.76666666666665,307.5,22.599999999999998,0.9791666666666666,15.0,1.0,6.26,19.2,32.8
449,0,0,0,23.5,,,,,,,,3.15,22.7,36.4
450,0,0,0,28.700000000000003,22.4,22.4,22.4,2.8,0.5,8.0,0.0,2.07,19.0,20.2
458,0,0,0,26.0,36.4,33.7,31.0,2.95,0.71875,10.0,0.0,,21.2,28.4
459,0,0,0,25.4,,,,,,,,,19.7,38.0
460,0,0,0,22.3,,,,,,,,,,15.4
462,0,0,0,23.7,252.8,212.6,245.99999999999997,15.366666666666667,0.8541666666666666,15.0,0.0,1.2,18.9,38.9
464,0,0,0,24.9,88.0,79.75,71.5,5.5,0.90625,13.0,0.0,,19.2,26.7
466,0,0,0,30.6,210.0,161.5666666666667,185.6,11.233333333333334,0.875,16.0,0.0,3.14,21.8,45.7
468,0,0,0,33.2,339.2,226.86666666666667,162.0,15.266666666666666,0.9166666666666666,15.0,0.3333333333333333,4.22,21.5,42.5
470,0,0,0,29.700000000000003,42.0,26.5,24.0,1.7666666666666666,0.9375,15.0,0.0,3.19,19.9,20.0
473,0,0,0,24.5,31.0,31.0,31.0,3.1,0.625,10.0,0.0,3.22,,14.8
475,0,0,0,27.1,34.5,19.033333333333335,3.6,2.6333333333333333,0.4583333333333333,2.0,0.0,,19.3,54.3
476,0,0,0,23.7,100.5,100.5,100.5,6.7,0.9375,15.0,0.0,1.26,20.0,36.6
478,0,0,0,28.0,115.2,71.83333333333333,115.2,6.966666666666666,0.6666666666666666,16.0,0.0,2.01,20.3,48.4
480,0,0,0,27.299999999999997,61.60000000000001,51.866666666666674,56.0,5.333333333333333,0.6875,14.0,0.0,7.03,,17.1
481,0,0,0,28.9,20.0,10.8,20.0,1.2,0.4375,10.0,0.0,,23.1,32.4
482,0,0,0,25.8,32.5,29.9,,2.3,0.8125,,0.0,4.06,21.0,27.5
485,0,0,0,23.1,12.0,12.0,12.0,2.0,0.375,6.0,0.0,,,17.7
497,0,0,0,22.4,,,,,,,,4.35,21.6,35.2
498,0,0,0,22.6,,,,,,,,3.34,20.9,37.4
500,0,0,0,24.6,37.4,37.4,37.4,3.4,0.6875,11.0,0.0,7.2,,15.3
502,0,0,0,23.4,46.199999999999996,46.199999999999996,46.199999999999996,3.3,0.875,14.0,0.0,,19.6,24.1
503,0,0,0,24.6,97.6,70.39999999999999,97.6,5.449999999999999,0.78125,16.0,0.0,3.12,20.9,29.3
505,0,0,0,21.3,,,,,,,,3.2,19.5,34.9
507,0,0,0,28.6,129.0,109.3,129.0,7.966666666666666,0.8541666666666666,15.0,0.0,,,15.6
509,0,0,0,27.700000000000003,33.599999999999994,33.599999999999994,,2.8,0.75,,0.0,,19.9,30.5
510,0,0,0,24.0,13.0,13.0,13.0,1.0,0.8125,13.0,0.0,4.09,20.2,23.7
514,0,0,0,26.6,52.8,52.8,52.8,4.8,0.6875,11.0,0.0,6.29,21.8,29.3
515,0,0,0,23.1,37.2,37.2,37.2,6.2,0.375,6.0,0.0,6.24,20.4,16.9
517,0,0,0,24.6,18.2,12.866666666666667,16.0,1.7666666666666668,0.4375,10.0,0.0,2.24,19.9,27.4
519,0,0,0,28.1,188.8,139.66666666666666,188.8,8.866666666666667,0.9791666666666666,16.0,0.0,,21.4,22.4
521,0,0,0,24.0,,,,,,,,3.05,20.2,40.4
523,0,0,0,22.9,93.0,93.0,93.0,9.3,0.625,10.0,0.0,1.15,20.2,44.2
524,0,0,0,22.4,,,,,,,,1.05,18.7,51.6
528,0,0,0,20.8,,,,,,,,2.08,20.1,29.0
537,0,0,0,24.3,2.6,2.6,2.6,2.6,0.0625,1.0,0.0,,20.6,12.5
542,0,0,0,31.6,148.4,90.16666666666667,69.6,6.633333333333333,0.8541666666666666,12.0,0.0,,,16.1
545,0,0,0,23.2,,,,,,,,,,14.8
548,0,0,0,30.299999999999997,64.9,36.800000000000004,41.300000000000004,4.133333333333334,0.5208333333333334,7.0,0.0,1.07,19.5,30.6
552,0,0,0,24.4,244.8,149.86666666666667,244.8,10.166666666666666,0.8958333333333334,16.0,0.0,2.21,19.7,40.7
560,1,0,0,25.0,329.6,252.26666666666665,196.8,15.766666666666666,1.0,16.0,0.3333333333333333,1.27,18.2,39.3
562,0,0,0,25.6,3.8,3.8,,1.9,0.125,,0.0,,,14.8
564,0,0,0,30.5,210.0,164.79999999999998,180.0,12.533333333333333,0.8125,15.0,0.0,2.18,18.8,32.1
565,0,0,0,24.4,154.5,124.05000000000001,154.5,10.350000000000001,0.75,15.0,0.0,1.14,19.6,46.3
567,0,0,0,23.5,,,,,,,,4.03,22.8,38.2
570,0,0,0,22.7,0.0,0.0,0.0,0.0,0.1875,3.0,0.0,4.28,20.0,26.6
571,0,0,0,29.4,339.2,276.8,224.0,17.3,1.0,16.0,0.3333333333333333,1.22,19.7,70.9
577,0,0,0,28.299999999999997,57.0,33.4,57.0,2.5999999999999996,0.6875,15.0,0.0,,,13.3
581,0,0,0,23.0,105.6,94.8,84.0,6.3,0.9375,14.0,0.0,2.09,19.3,41.4
585,0,0,0,28.6,316.8,195.10000000000002,179.4,14.5,0.7916666666666666,13.0,0.3333333333333333,1.24,18.8,62.5
594,0,0,0,23.8,172.8,124.00000000000001,102.60000000000001,9.700000000000001,0.8125,9.0,0.0,3.26,18.1,32.1
596,0,0,0,28.299999999999997,163.2,97.03333333333335,163.2,10.6,0.6458333333333334,16.0,0.0,,21.6,21.2
598,0,0,0,28.700000000000003,268.8,229.86666666666667,252.8,14.366666666666667,1.0,16.0,0.0,,20.0,27.0
601,0,0,0,29.700000000000003,100.5,40.96666666666667,6.4,2.6999999999999997,0.9791666666666666,16.0,0.0,6.11,22.0,32.9
603,0,0,0,24.0,,,,,,,,,21.2,32.1
605,0,0,0,24.4,126.1,126.1,126.1,9.7,0.8125,13.0,0.0,,18.7,15.2
607,0,0,0,30.200000000000003,299.2,245.73333333333335,213.0,15.966666666666669,0.9583333333333334,15.0,0.0,3.18,19.5,34.2
609,0,0,0,30.200000000000003,252.0,164.0,40.5,14.533333333333333,0.6875,3.0,0.0,3.23,20.5,44.5
610,0,0,0,31.9,32.400000000000006,11.600000000000001,0.0,1.866666666666667,0.7083333333333334,16.0,0.0,,19.2,43.1
614,0,0,0,25.7,28.0,14.0,28.0,2.0,0.25,7.0,0.0,,19.0,51.2
619,0,0,0,23.4,44.1,44.1,44.1,6.3,0.4375,7.0,0.0,,20.6,24.5
620,0,0,0,28.799999999999997,259.2,229.86666666666665,220.8,14.366666666666665,1.0,16.0,0.0,2.28,20.1,44.3
626,0,0,0,27.299999999999997,42.0,16.366666666666667,4.4,1.6333333333333335,0.5208333333333334,4.0,0.0,,,15.6
628,0,0,0,32.7,118.80000000000001,80.53333333333335,36.0,6.866666666666667,0.7083333333333334,8.0,0.0,3.21,22.0,30.1
631,0,0,0,23.1,,,,,,,,,20.4,43.8
633,0,0,0,22.9,,,,,,,,,,7.0
638,0,0,0,22.1,,,,,,,,5.29,21.4,34.5
644,0,0,0,25.1,133.0,92.0,133.0,7.3,0.75,14.0,0.0,5.23,21.4,24.2
647,0,0,0,23.3,48.0,37.5,27.0,4.65,0.5,6.0,0.0,3.06,19.6,31.1
650,0,0,0,24.6,-1.4000000000000001,-1.4000000000000001,-1.4000000000000001,-0.1,0.875,14.0,0.0,6.11,22.9,25.4
663,0,0,0,24.0,192.0,160.8,192.0,10.05,1.0,16.0,0.0,4.06,19.2,33.3
665,0,0,0,26.5,20.0,10.9,1.8,1.7,0.3125,2.0,0.0,5.36,20.7,37.0
666,0,0,0,27.5,120.0,74.36666666666666,23.6,6.400000000000001,0.7083333333333334,4.0,0.0,4.23,21.8,40.2
667,0,0,0,27.4,56.400000000000006,41.13333333333333,36.0,4.6000000000000005,0.5833333333333334,6.0,0.0,,,11.2
669,0,0,0,24.5,267.2,225.6,228.8,14.1,1.0,16.0,0.0,2.31,19.8,40.0
676,0,0,0,23.1,,,,,,,,,19.4,19.3
679,0,0,0,26.0,36.4,16.666666666666668,36.4,2.4666666666666663,0.5,13.0,0.0,7.21,20.2,45.2
682,0,0,0,23.4,,,,,,,,4.33,21.7,23.9
684,0,0,0,28.6,147.2,94.39999999999999,147.2,5.8999999999999995,1.0,16.0,0.0,5.22,21.8,26.9
685,0,0,0,29.1,276.8,209.66666666666666,109.19999999999999,14.200000000000001,0.8958333333333334,12.0,0.0,1.19,19.3,29.5
687,0,0,0,27.299999999999997,147.2,115.09999999999998,97.6,7.333333333333333,0.9791666666666666,16.0,0.0,,18.6,36.1
692,0,0,0,23.3,,,,,,,,,22.6,33.7
695,0,0,0,27.200000000000003,207.0,152.6,103.60000000000001,10.133333333333333,0.9375,14.0,0.0,3.27,21.4,42.4
697,0,0,0,21.5,,,,,,,,1.09,18.8,34.1
699,0,0,0,26.8,7.800000000000001,7.800000000000001,7.800000000000001,1.3,0.375,6.0,0.0,,25.0,17.3
701,0,0,0,25.6,,,,,,,,,19.8,28.5
704,0,0,0,25.3,47.3,47.3,47.3,4.3,0.6875,11.0,0.0,,20.6,32.5
706,0,0,0,32.0,328.0,316.0,304.0,19.75,1.0,16.0,1.0,2.05,20.3,49.6
707,0,0,0,28.0,57.2,36.733333333333334,57.2,3.233333333333333,0.5,13.0,0.0,,21.3,16.9
708,0,0,0,24.5,8.6,8.6,8.6,4.3,0.125,2.0,0.0,1.22,18.8,38.6
709,0,0,0,26.1,54.5,54.5,,10.9,0.3125,,0.0,2.5,19.4,25.0
711,0,0,0,21.2,,,,,,,,4.22,20.5,35.3
714,0,0,0,22.3,,,,,,,,4.1,19.6,39.7
