,id,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,value
78,0cc30377-88da-4b7a-bdc5-7b72e2fc0f00,Chase,Claypool,106.1,99.1908246,WR51,WR,Pittsburgh Steelers,28.1
79,9b2b05ca-01b4-4dca-aae3-c3805ff4d55d,J.K.,Dobbins,57,98.29632137,RB21,RB,Baltimore Ravens,-22
80,8512cb8c-8a41-452e-9c09-2b7881473c51,Noah,Fant,170.4,97.15475099,TE21,TE,Seattle Seahawks,90.4
81,8275d1d3-9c8c-433a-9734-914fe3df4c7f,Miles,Sanders,80.4,95.64640643,RB27,RB,Philadelphia Eagles,-0.6
82,ee69ff40-840c-41a5-a0d4-df9e34c0e554,Mitchell,Trubisky,215.1,94.197939,QB31,QB,Pittsburgh Steelers,133.1
83,5e7117ed-0900-4ad1-ac49-c81b9e0d270e,Laviska,Shenault,202.3,92.97984596,WR89,WR,Jacksonville Jaguars,119.3
84,3554433b-dccc-453c-97ca-a0122d410db6,Brandon,Aiyuk,78.8,92.2641766,WR39,WR,San Francisco 49ers,-5.2
85,b771553e-96bf-40f8-8ef6-1d54a9d973c9,James,Cook,108.5,91.95335533,RB34,RB,Buffalo Bills,23.5
86,e160003b-5fe7-4f18-8001-d6f0cb046be1,Darrel,Williams,171.1,91.12588333,RB53,RB,Arizona Cardinals,85.1
87,3dc764fc-d118-4e7e-a9bd-28fd2eae95c1,Amon-Ra,St. Brown,70.2,89.72472848,WR34,WR,Detroit Lions,-16.8
88,e8337714-ca74-40e8-ba6e-e224b065519e,George,Kittle,48.2,88.7909499,TE5,TE,San Francisco 49ers,-39.8
89,c40c5898-0a51-4e21-9ad5-069ace88998f,T.J.,Hockenson,83.7,84.58024351,TE7,TE,Detroit Lions,-5.3
90,73caefce-7dbd-4e74-957b-ba83a3e3e7f5,Skyy,Moore,85.6,80.88964221,WR41,WR,Kansas City Chiefs,-4.4
91,187c2005-ea96-4d79-8f0c-74ff330c6722,Ryan,Tannehill,180.6,71.790294,QB24,QB,Tennessee Titans,89.6
92,608395a4-1901-4b80-86d7-996014553c1a,Matt,Ryan,165.3,69.448476,QB21,QB,Indianapolis Colts,73.3
93,c8eced77-b09d-4d8f-9205-29c2f4a25368,Brandin,Cooks,57.8,69.39805932,WR29,WR,Houston Texans,-35.2
