,y,starter,age,max_pts,last_pts,3_yr_trail_avg_fppg,hit_rate,Draft Pick,breakout_age,konami,supporting_cast,games_played_rate,id,year
0,0,0,26.7,57.4,,8.2,0.0,5.24,21.0,0.0,1.2083442485,0.4375,A.J. McCarron,2017
1,0,1,33.5,382.4,382.4,21.666666666666668,1.0,1.24,19.8,0.14583333333333334,1.0035154178999999,1.0,Aaron Rodgers,2017
2,0,1,33.1,273.6,228.0,15.800000000000002,0.0,1.01,19.3,0.17499999999999996,1.1441696867,0.9583333333333334,Alex Smith,2017
3,0,1,29.6,268.8,268.8,17.03333333333333,0.0,2.03,20.9,0.2435897435897436,1.2083442485,0.9375,Andy Dalton,2017
4,0,0,28.0,117.0,,10.2,0.0,,21.3,0.0,0.277540434,0.375,Austin Davis,2017
5,0,1,35.3,305.6,259.0,18.866666666666667,0.3333333333333333,1.11,19.5,0.023809523809523808,1.9794076242,0.875,Ben Roethlisberger,2017
6,0,0,27.6,136.8,78.6,12.066666666666668,0.0,1.1,19.9,0.15277777777777776,1.028203938,0.3125,Blaine Gabbert,2017
7,0,1,25.4,332.8,281.6,17.166666666666668,0.3333333333333333,1.03,20.7,0.10416666666666667,1.106448229,0.9583333333333334,Blake Bortles,2017
8,0,0,24.0,-0.4,-0.4,-0.1,0.0,5.11,19.2,0.0,1.0035154178999999,0.25,Brett Hundley,2017
9,0,1,31.6,173.8,79.8,13.733333333333334,0.0,,,0.0,1.0529708056,0.6458333333333334,Brian Hoyer,2017
10,0,0,26.5,184.5,184.5,9.700000000000001,0.0,2.25,20.8,0.0861111111111111,0.8033221049,0.5625,Brock Osweiler,2017
11,0,0,26.0,37.2,37.2,6.2,0.0,4.04,22.3,0.0,0.2662623675,0.375,Bryce Petty,2017
12,0,0,23.5,,,,,3.4,21.8,,0.0947646483,,C.J. Beathard,2017
13,1,1,28.1,398.4,264.0,20.333333333333332,0.3333333333333333,1.01,21.3,0.4384920634920635,0.5719568341,0.9375,Cam Newton,2017
14,0,1,37.4,320.0,250.5,18.166666666666668,0.3333333333333333,1.01,22.7,0.020833333333333332,1.028203938,0.7708333333333334,Carson Palmer,2017
15,0,1,24.4,222.4,222.4,13.9,0.0,1.02,21.7,0.125,0.8253748931,1.0,Carson Wentz,2017
16,0,1,29.299999999999997,122.0,122.0,11.199999999999998,0.0,,19.6,0.03333333333333333,0.9336590863,0.3541666666666667,Case Keenum,2017
17,0,0,31.9,162.0,-0.2,7.000000000000001,0.0,2.26,20.2,0.0,1.106448229,0.3958333333333333,Chad Henne,2017
18,0,0,30.700000000000003,11.8,0.6,2.1666666666666665,0.0,,19.9,0.0,1.874284162,0.10416666666666667,Chase Daniel,2017
19,0,0,24.1,77.4,77.4,8.6,0.0,3.31,20.3,0.0,0.3425393674,0.5625,Cody Kessler,2017
20,0,0,23.5,,,,,,20.8,,1.272160383,,Cooper Rush,2017
21,0,1,23.8,291.2,291.2,18.2,0.0,4.37,20.1,0.375,1.272160383,1.0,Dak Prescott,2017
22,0,0,26.7,0.9,0.9,0.9,0.0,6.07,21.9,0.0,0.7199928405,0.0625,David Fales,2017
23,0,1,21.4,,,,,2.2,19.7,,0.3425393674,,DeShone Kizer,2017
24,0,0,34.0,50.5,19.5,4.8,0.0,6.39,19.2,0.0,0.5719568341,0.2708333333333333,Derek Anderson,2017
25,0,1,26.2,284.8,264.0,16.066666666666666,0.0,2.04,20.4,0.0,0.34877035840000004,0.9791666666666666,Derek Carr,2017
26,0,1,21.7,,,,,1.12,20.0,,0.7287257937999999,,Deshaun Watson,2017
27,0,1,38.4,347.2,347.2,20.933333333333334,1.0,2.01,19.6,0.08472222222222221,1.874284162,0.9791666666666666,Drew Brees,2017
28,0,0,33.1,98.1,12.5,4.5,0.0,2.11,20.3,0.0,1.028203938,0.4166666666666667,Drew Stanton,2017
29,0,0,27.200000000000003,61.6,5.5,9.0,0.0,1.16,21.5,0.16666666666666666,0.34877035840000004,0.2708333333333333,E.J. Manuel,2017
30,0,1,36.4,300.8,240.0,17.166666666666668,0.3333333333333333,1.01,20.7,0.020833333333333332,0.84989761,1.0,Eli Manning,2017
31,0,0,26.7,163.8,9.0,12.4,0.0,2.07,19.9,0.023809523809523808,0.84989761,0.3541666666666667,Geno Smith,2017
32,0,1,24.5,28.2,28.2,9.4,0.0,3.29,21.7,0.3333333333333333,0.3953166294,0.1875,Jacoby Brissett,2017
33,0,0,24.4,,,,,6.16,20.6,,0.425421046,,Jake Rudock,2017
34,0,1,23.4,286.4,268.8,17.35,0.0,1.01,19.7,0.21875,0.7543707696999999,1.0,Jameis Winston,2017
35,0,1,22.6,60.2,60.2,8.6,0.0,1.01,18.9,0.14285714285714285,0.823807037,0.4375,Jared Goff,2017
36,0,1,34.1,265.5,52.0,14.6,0.0,1.11,20.4,0.06666666666666667,0.7199928405,0.7291666666666666,Jay Cutler,2017
37,0,0,25.6,34.8,34.8,2.6999999999999997,0.0,2.3,19.8,0.0,1.0529708056,0.3125,Jimmy Garoppolo,2017
38,0,0,24.0,,,,,,,,1.0035154178999999,,Joe Callahan,2017
39,0,1,32.4,275.2,249.6,16.666666666666668,0.0,1.18,21.6,0.18333333333333335,0.3353696014,0.875,Joe Flacco,2017
40,0,0,30.6,1.6,0.4,0.5666666666666668,0.0,6.3,21.8,0.0,1.044655412,0.14583333333333334,Joe Webb,2017
41,0,1,37.9,140.8,56.0,13.5,0.0,3.16,,0.13257575757575757,0.2662623675,0.5,Josh McCown,2017
42,0,0,34.0,6.4,-0.1,1.1666666666666667,0.0,2.17,22.3,0.0,1.732971184,0.08333333333333333,Kellen Clemens,2017
43,0,0,24.6,18.6,18.6,6.2,0.0,5.25,20.9,0.3333333333333333,0.3425393674,0.1875,Kevin Hogan,2017
