,y,starter,age,max_pts,avg_pts,last_pts,3_yr_trail_avg_fppg,hit_rate,Draft Pick,supporting_cast,breakout_age,konami,games_played_rate
49,0,1,36.4,300.8,274.6666666666667,240.0,17.166666666666668,0.3333333333333333,1.01,1.391491875,20.7,0.3333333333333333,1.0
50,0,0,26.7,163.8,64.60000000000001,9.0,12.4,0.0,2.07,1.391491875,19.9,0.3333333333333333,0.3541666666666667
51,0,1,24.5,28.2,28.2,28.2,9.4,0.0,3.29,0.957222797,21.7,1.0,0.1875
52,0,0,29.799999999999997,11.0,5.4,11.0,2.7,0.0,,0.957222797,22.0,0.0,0.125
53,0,0,24.4,,,,,,6.16,1.140351055,20.6,,
54,0,1,29.299999999999997,302.4,283.73333333333335,288.0,17.733333333333334,0.3333333333333333,1.01,1.140351055,19.6,1.6666666666666667,1.0
55,0,1,23.4,286.4,277.6,268.8,17.35,0.0,1.01,1.11735931,19.7,3.5,1.0
56,0,0,34.5,300.8,214.0,154.0,15.133333333333333,0.3333333333333333,7.36,1.11735931,20.8,1.3333333333333333,0.875
57,0,1,22.6,60.2,60.2,60.2,8.6,0.0,1.01,1.374959572,18.9,1.0,0.4375
58,0,0,25.1,1.2,0.44999999999999996,-0.3,0.44999999999999996,0.0,3.25,1.374959572,20.4,0.0,0.0625
59,0,1,32.4,275.2,232.26666666666665,249.6,16.666666666666668,0.0,1.18,0.602106281,21.6,2.3333333333333335,0.875
60,0,0,29.0,74.9,32.13333333333333,-0.4,5.966666666666666,0.0,3.1,0.602106281,21.3,0.3333333333333333,0.2916666666666667
61,0,0,30.6,1.6,0.6666666666666666,0.4,0.5666666666666668,0.0,6.3,0.96866311,21.8,0.0,0.14583333333333334
62,0,0,23.1,,,,,,5.28,0.96866311,21.3,,
63,0,0,30.0,24.0,12.8,,3.8,0.0,5.21,0.96866311,23.3,0.0,0.15625
64,0,1,27.799999999999997,274.4,182.36666666666665,273.0,12.5,0.0,6.15,0.96866311,20.1,3.3333333333333335,0.625
65,0,0,34.0,6.4,2.233333333333334,-0.1,1.1666666666666667,0.0,2.17,1.09560712,22.3,0.0,0.08333333333333333
66,0,1,35.5,292.8,285.3333333333333,280.0,17.833333333333332,0.0,1.04,1.09560712,18.7,0.0,1.0
67,0,1,28.799999999999997,312.0,236.66666666666666,312.0,18.166666666666668,0.6666666666666666,4.07,0.851239854,21.0,3.0,0.7916666666666666
68,0,1,23.6,268.5,241.05,268.5,17.85,0.0,1.02,1.533409537,18.9,2.0,0.84375
69,0,0,35.1,72.0,38.76666666666667,17.6,7.433333333333333,0.0,7.16,1.533409537,,0.0,0.3125
