,Full Name,0,1,Position,Team
0,D.K. Metcalf,0.14872783,0.85127217,WR,Seattle Seahawks
1,Terry McLaurin,0.15524852,0.8447515,WR,Washington Commanders
2,Justin Jefferson,0.16697818,0.8330218,WR,Minnesota Vikings
3,Tyreek Hill,0.19752395,0.80247605,WR,Kansas City Chiefs
4,Alvin Kamara,0.19799274,0.80200726,RB,New Orleans Saints
5,Jonathan Taylor,0.19965148,0.8003485,RB,Indianapolis Colts
6,Josh Jacobs,0.22799188,0.7720081,RB,Las Vegas Raiders
7,Antonio Gibson,0.25012356,0.74987644,RB,Washington Commanders
8,Dalvin Cook,0.25532717,0.74467283,RB,Minnesota Vikings
9,CeeDee Lamb,0.2559539,0.7440461,WR,Dallas Cowboys
10,Tee Higgins,0.26162678,0.7383732,WR,Cincinnati Bengals
11,Brandin Cooks,0.2668017,0.7331983,WR,Houston Texans
12,D'Andre Swift,0.27662128,0.7233787,RB,Detroit Lions
13,Tyler Lockett,0.27933866,0.72066134,WR,Seattle Seahawks
14,Mike Evans,0.29768193,0.7023181,WR,Tampa Bay Buccaneers
15,Stefon Diggs,0.29959726,0.70040274,WR,Buffalo Bills
16,Calvin Ridley,0.30078208,0.6992179,WR,Atlanta Falcons
17,Nick Chubb,0.30414653,0.6958535,RB,Cleveland Browns
18,Travis Kelce,0.30523694,0.69476306,TE,Kansas City Chiefs
19,JuJu Smith-Schuster,0.30735624,0.69264376,WR,Pittsburgh Steelers
20,Diontae Johnson,0.30849594,0.69150406,WR,Pittsburgh Steelers
21,Davante Adams,0.31410795,0.68589205,WR,Green Bay Packers
22,A.J. Brown,0.32041067,0.67958933,WR,Tennessee Titans
23,Amari Cooper,0.32508147,0.67491853,WR,Dallas Cowboys
24,David Montgomery,0.32619494,0.67380506,RB,Chicago Bears
25,Kareem Hunt,0.32651967,0.67348033,RB,Cleveland Browns
26,Cooper Kupp,0.32751113,0.67248887,WR,Los Angeles Rams
27,Ezekiel Elliott,0.34687692,0.6531231,RB,Dallas Cowboys
28,DeAndre Hopkins,0.35052896,0.64947104,WR,Arizona Cardinals
29,Aaron Jones,0.38055503,0.61944497,RB,Green Bay Packers
30,D.J. Moore,0.41924024,0.58075976,WR,Carolina Panthers
31,Leonard Fournette,0.4388612,0.5611388,RB,Tampa Bay Buccaneers
32,Derrick Henry,0.4530024,0.5469976,RB,Tennessee Titans
33,Joe Mixon,0.46587086,0.53412914,RB,Cincinnati Bengals
34,Chris Godwin,0.46902508,0.5309749,WR,Tampa Bay Buccaneers
35,Chase Claypool,0.5009495,0.49905053,WR,Pittsburgh Steelers
