,Full Name,0,1,fpts_2018
0,DeAndre Hopkins,0.11049414,0.88950586,332.8
1,Michael Thomas,0.13261831,0.8673817,315.2
2,Antonio Brown,0.13632059,0.8636794,324.0
3,Alvin Kamara,0.14275396,0.85724604,348.0
4,Keenan Allen,0.15485281,0.8451472,258.0
5,Ezekiel Elliott,0.15682817,0.84317183,327.0
6,Julio Jones,0.17347866,0.82652134,326.4
7,Cooper Kupp,0.21727973,0.78272027,135.2
8,Melvin Gordon,0.24905151,0.7509485,271.20000000000005
9,Davante Adams,0.262546,0.737454,327.0
10,Travis Kelce,0.27526176,0.72473824,294.4
11,Christian McCaffrey,0.28362584,0.71637416,385.6
12,Mike Evans,0.29764438,0.7023556,289.6
13,Brandin Cooks,0.31601185,0.68398815,243.0
14,Todd Gurley,0.32972485,0.67027515,366.8
15,Mark Ingram,0.3666606,0.6333394,142.8
16,Odell Beckham,0.40096205,0.59903795,230.39999999999998
17,David Johnson,0.4284268,0.5715732,244.8
18,Leonard Fournette,0.44936377,0.55063623,120.8
19,Robert Woods,0.45908517,0.54091483,265.6
20,Kareem Hunt,0.46635628,0.5336437,229.89999999999998
21,Joe Mixon,0.47496408,0.5250359,243.59999999999997
22,Will Fuller,0.4996242,0.5003758,106.39999999999999
23,Saquon Barkley,0.526494,0.47350597,384.0
24,Jarvis Landry,0.5315763,0.46842372,214.4
25,A.J. Green,0.53278315,0.46721688,149.4
26,Adam Thielen,0.57599115,0.42400888,305.6
27,Dalvin Cook,0.61268795,0.38731205,151.8
28,Larry Fitzgerald,0.6201683,0.37983167,184.0
29,Zach Ertz,0.6225921,0.37740794,280.0
30,JuJu Smith-Schuster,0.63376284,0.3662372,294.4
31,LeSean McCoy,0.63636565,0.36363432,127.39999999999999
32,Devin Funchess,0.6799276,0.32007244,123.20000000000002
33,Sammy Watkins,0.6813525,0.31864747,115.0
34,Tyreek Hill,0.7203703,0.2796297,328.0
35,James White,0.7210947,0.27890524,276.8
36,Sterling Shepard,0.7252676,0.2747324,180.8
37,Devonta Freeman,0.7672962,0.23270382,14.0
38,DeVante Parker,0.7855654,0.21443465,60.5
39,Corey Davis,0.803644,0.19635601,184.0
40,Amari Cooper,0.8182991,0.1817009,216.0
41,Rob Gronkowski,0.824794,0.17520599,131.29999999999998
42,Ronald Jones,0.8395462,0.1604538,20.4
43,Chris Thompson,0.8570865,0.1429135,92.0
44,Duke Johnson,0.8693228,0.1306772,128.0
45,James Conner,0.8830607,0.11693933,275.59999999999997
46,Doug Baldwin,0.89115286,0.10884712,141.70000000000002
47,Evan Engram,0.892728,0.107272014,124.30000000000001
48,Carlos Hyde,0.8977745,0.10222547,98.0
49,Josh Gordon,0.8983316,0.101668395,139.2
50,Emmanuel Sanders,0.89869773,0.10130229,198.0
51,Mohamed Sanu,0.8988018,0.10119821,180.8
52,Golden Tate,0.90145934,0.09854065,181.5
53,Tyler Boyd,0.90187955,0.09812045,221.20000000000002
54,Ty Montgomery,0.90246814,0.097531855,70.80000000000001
55,Royce Freeman,0.90743834,0.09256164,100.8
56,Rashaad Penny,0.9075385,0.09246152,70.2
57,Austin Ekeler,0.90938026,0.09061972,162.4
58,Chris Carson,0.9113003,0.08869971,201.6
59,Nick Chubb,0.9127167,0.08728331,195.2
60,Aaron Jones,0.915675,0.08432502,171.60000000000002
