,Full Name,0,1,fpts_2020
0,Dalvin Cook,0.06517899,0.934821,337.80039999999997
1,Christian McCaffrey,0.12031466,0.87968534,90.3999
2,Aaron Jones,0.12047988,0.8795201,258.9006
3,Keenan Allen,0.13576591,0.8642341,245.0994
4,Austin Ekeler,0.17580897,0.82419103,165.3
5,Travis Kelce,0.19410676,0.80589324,312.7605
6,Robert Woods,0.21201575,0.78798425,245.0992
7,Josh Jacobs,0.21236825,0.78763175,231.3
8,Derrick Henry,0.22759813,0.77240187,333.1008
9,Chris Carson,0.25645715,0.74354285,187.8
10,Nick Chubb,0.25991356,0.74008644,207.69959999999998
11,Leonard Fournette,0.27407473,0.72592527,131.9994
12,Tyreek Hill,0.27655238,0.7234476,328.9005
13,D.K. Metcalf,0.2780524,0.7219476,271.3008
14,Julio Jones,0.27973926,0.72026074,146.09969999999998
15,George Kittle,0.28452742,0.7154726,125.1
16,Michael Thomas,0.34362364,0.65637636,83.8999
17,Davante Adams,0.3539502,0.6460498,358.40000000000003
18,Mark Ingram,0.38020915,0.61979085,52.9001
19,Ezekiel Elliott,0.39338624,0.60661376,223.6995
20,Chris Godwin,0.40785718,0.5921428,191.0004
21,DeAndre Hopkins,0.4215523,0.5784477,287.8
22,Allen Robinson,0.42717415,0.57282585,262.8992
23,Calvin Ridley,0.43443394,0.56556606,281.5005
24,Tyler Lockett,0.45945996,0.54054004,265.4
25,Alvin Kamara,0.46267033,0.5373297,377.8005
26,Darren Waller,0.4703176,0.5296824,278.6
27,Mike Evans,0.47067517,0.5293248,248.6
28,Jonathan Taylor,0.4862805,0.5137195,252.79950000000002
29,Will Fuller,0.5108316,0.4891684,188.8997
30,Stefon Diggs,0.53115964,0.46884036,328.6
31,Tyler Boyd,0.54314446,0.45685554,192.6405
32,Adam Thielen,0.5470047,0.45299527,253.99949999999998
33,Brandin Cooks,0.549986,0.45001397,232.0005
34,Joe Mixon,0.5730647,0.42693532,99.60000000000001
35,Kenyan Drake,0.57505697,0.42494303,192.1995
36,Antonio Brown,0.58722496,0.41277507,117.1
37,A.J. Brown,0.62099266,0.37900737,247.50039999999998
