,Full Name,0,1,Position,Team
0,Jarvis Landry,0.15659952,0.8434005,WR,Cleveland Browns
1,Christian McCaffrey,0.19503498,0.804965,RB,Carolina Panthers
2,Alvin Kamara,0.19799274,0.80200726,RB,New Orleans Saints
3,Kareem Hunt,0.21293503,0.78706497,RB,Kansas City Chiefs
4,DeAndre Hopkins,0.22513509,0.7748649,WR,Houston Texans
5,Brandin Cooks,0.22580516,0.77419484,WR,Los Angeles Rams
6,Keenan Allen,0.24503762,0.7549624,WR,Los Angeles Chargers
7,JuJu Smith-Schuster,0.28355205,0.71644795,WR,Pittsburgh Steelers
8,Davante Adams,0.2897703,0.7102297,WR,Green Bay Packers
9,Todd Gurley,0.29117608,0.7088239,RB,Los Angeles Rams
10,Tyreek Hill,0.29279274,0.70720726,WR,Kansas City Chiefs
11,Michael Thomas,0.3128389,0.6871611,WR,New Orleans Saints
12,Mark Ingram,0.31410795,0.68589205,RB,New Orleans Saints
13,Melvin Gordon,0.31536776,0.68463224,RB,Los Angeles Chargers
14,Mike Evans,0.3420834,0.6579166,WR,Tampa Bay Buccaneers
15,Antonio Brown,0.38079047,0.6192095,WR,Pittsburgh Steelers
16,Julio Jones,0.4140882,0.5859118,WR,Atlanta Falcons
17,Saquon Barkley,0.42804265,0.57195735,RB,New York Giants
18,Ezekiel Elliott,0.43351686,0.56648314,RB,Dallas Cowboys
19,Travis Kelce,0.44278467,0.55721533,TE,Kansas City Chiefs
20,Amari Cooper,0.4805019,0.5194981,WR,Dallas Cowboys
21,Leonard Fournette,0.49131393,0.50868607,RB,Jacksonville Jaguars
22,LeSean McCoy,0.5090736,0.49092636,RB,Buffalo Bills
23,Devin Funchess,0.51547277,0.48452726,WR,Carolina Panthers
24,Zach Ertz,0.53013146,0.46986854,TE,Philadelphia Eagles
25,Larry Fitzgerald,0.538499,0.46150097,WR,Arizona Cardinals
26,Devonta Freeman,0.550819,0.44918102,RB,Atlanta Falcons
27,Marvin Jones,0.6115016,0.3884984,WR,Detroit Lions
28,Odell Beckham,0.6126666,0.3873334,WR,New York Giants
29,T.Y. Hilton,0.6193358,0.38066423,WR,Indianapolis Colts
30,Cooper Kupp,0.6268137,0.3731863,WR,Los Angeles Rams
31,David Johnson,0.64177644,0.35822353,RB,Arizona Cardinals
32,Duke Johnson,0.64901495,0.35098508,RB,Cleveland Browns
33,Rob Gronkowski,0.65091836,0.34908167,TE,New England Patriots
34,Tarik Cohen,0.65728235,0.34271765,RB,Chicago Bears
35,Derrick Henry,0.6624383,0.33756176,RB,Tennessee Titans
36,Jordan Howard,0.67361474,0.32638526,RB,Chicago Bears
37,Joe Mixon,0.67808217,0.32191783,RB,Cincinnati Bengals
38,Alshon Jeffery,0.67954236,0.32045764,WR,Philadelphia Eagles
39,Stefon Diggs,0.7023673,0.2976327,WR,Minnesota Vikings
40,Adam Thielen,0.7106237,0.28937632,WR,Minnesota Vikings
41,Evan Engram,0.7197992,0.28020078,TE,New York Giants
42,Lamar Miller,0.73406863,0.2659314,RB,Houston Texans
43,Kenyan Drake,0.74964106,0.25035894,RB,Miami Dolphins
44,Golden Tate,0.7583855,0.2416145,WR,Detroit Lions
45,Nelson Agholor,0.7599826,0.24001744,WR,Philadelphia Eagles
46,Tyler Lockett,0.7690843,0.23091571,WR,Seattle Seahawks
47,Sammy Watkins,0.7753459,0.22465406,WR,Kansas City Chiefs
48,Jamison Crowder,0.7846211,0.21537885,WR,Washington Commanders
49,Ronald Jones,0.80217916,0.19782084,RB,Tampa Bay Buccaneers
50,Kerryon Johnson,0.80217916,0.19782084,RB,Detroit Lions
51,D.J. Moore,0.81766576,0.18233424,WR,Carolina Panthers
52,Kenny Stills,0.8199849,0.18001509,WR,Miami Dolphins
53,Tevin Coleman,0.8201165,0.17988347,RB,Atlanta Falcons
54,Giovani Bernard,0.8250062,0.17499381,RB,Cincinnati Bengals
55,Eric Ebron,0.83011633,0.16988368,TE,Indianapolis Colts
56,A.J. Green,0.83179647,0.16820353,WR,Cincinnati Bengals
57,Jamaal Williams,0.83334124,0.16665876,RB,Green Bay Packers
58,Paul Richardson,0.8355299,0.1644701,WR,Washington Commanders
59,Demaryius Thomas,0.83615255,0.16384743,WR,Denver Broncos
60,Emmanuel Sanders,0.83949065,0.16050933,WR,Denver Broncos
61,Robert Woods,0.84504104,0.15495898,WR,Los Angeles Rams
62,Jordan Matthews,0.84894776,0.15105222,TE,New England Patriots
63,Corey Davis,0.8563855,0.14361446,WR,Tennessee Titans
64,Chris Godwin,0.86610806,0.13389197,WR,Tampa Bay Buccaneers
65,Dion Lewis,0.8662178,0.13378222,RB,New England Patriots
66,Rashaad Penny,0.86623645,0.13376358,RB,Seattle Seahawks
67,Kenny Golladay,0.86750585,0.13249415,WR,Detroit Lions
68,Randall Cobb,0.8687627,0.13123731,WR,Green Bay Packers
69,Sony Michel,0.87022054,0.12977944,RB,New England Patriots
70,Nick Chubb,0.87022054,0.12977944,RB,Cleveland Browns
71,Mohamed Sanu,0.87125355,0.12874644,WR,Atlanta Falcons
72,Christian Kirk,0.8780442,0.121955805,WR,Arizona Cardinals
