,Full Name,0,1,fpts_2017
0,Le'Veon Bell,0.101644814,0.8983552,342.0
1,Ezekiel Elliott,0.11439371,0.8856063,203.0
2,Antonio Brown,0.12503445,0.87496555,308.0
3,David Johnson,0.13975143,0.86024857,13.0
4,LeSean McCoy,0.18242204,0.81757796,264.0
5,Leonard Fournette,0.18268174,0.81731826,230.1
6,Mark Ingram,0.18700534,0.81299466,278.4
7,Melvin Gordon,0.19745463,0.80254537,288.0
8,Michael Thomas,0.21382737,0.7861726,259.2
9,Julio Jones,0.2539013,0.7460987,251.2
10,Rob Gronkowski,0.33147657,0.66852343,224.9
11,Odell Beckham,0.36093825,0.63906175,74.0
12,DeMarco Murray,0.38557988,0.6144201,171.0
13,Keenan Allen,0.4204495,0.5795505,284.8
14,Davante Adams,0.43112046,0.56887954,222.6
15,Emmanuel Sanders,0.44967002,0.55033,114.0
16,Travis Kelce,0.45913112,0.5408689,234.0
17,DeAndre Hopkins,0.4813673,0.5186327,310.5
18,Jarvis Landry,0.5546684,0.4453316,259.2
19,A.J. Green,0.5809933,0.4190067,227.2
20,Tyreek Hill,0.59363997,0.40636,240.0
21,Dalvin Cook,0.6065733,0.39342672,65.6
22,Mike Evans,0.6123294,0.38767058,201.0
23,Jay Ajayi,0.6670525,0.33294752,135.79999999999998
24,Sammy Watkins,0.69667816,0.30332184,147.0
25,Corey Davis,0.73616767,0.26383236,69.3
26,Brandin Cooks,0.76301897,0.23698105,219.2
27,Tevin Coleman,0.7692726,0.23072736,168.0
28,Todd Gurley,0.775308,0.224692,384.0
29,Kelvin Benjamin,0.7885102,0.21148983,135.79999999999998
30,Alshon Jeffery,0.7963644,0.20363554,190.4
31,Zach Ertz,0.7992146,0.20078538,203.0
32,Matt Forte,0.8005588,0.19944121,120.0
33,T.Y. Hilton,0.8081495,0.19185047,176.0
34,Theo Riddick,0.8125969,0.18740311,153.6
35,Giovani Bernard,0.8171271,0.18287286,152.0
36,Michael Crabtree,0.8175113,0.18248865,167.70000000000002
37,Kareem Hunt,0.8188599,0.18114012,294.4
38,Jordan Howard,0.8226177,0.17738229,200.0
39,Jordy Nelson,0.8228814,0.17711858,137.20000000000002
40,Christian McCaffrey,0.8250134,0.17498657,228.8
41,Austin Ekeler,0.8272676,0.17273241,106.39999999999999
42,Allen Robinson,0.8281286,0.1718714,2.7
43,Amari Cooper,0.8313077,0.16869228,158.20000000000002
44,DeVante Parker,0.83438504,0.16561493,130.0
45,John Ross,0.84010524,0.15989476,-0.8999999999999999
46,Jordan Matthews,0.84017193,0.15982804,57.0
47,Devonta Freeman,0.85138136,0.14861864,200.20000000000002
48,Marshawn Lynch,0.8523284,0.14767155,163.5
49,Randall Cobb,0.8589225,0.14107749,156.79999999999998
50,Jeremy Hill,0.8601455,0.13985449,17.5
51,Ameer Abdullah,0.867704,0.13229604,124.60000000000001
52,Chris Thompson,0.8710679,0.12893212,153.0
53,Larry Fitzgerald,0.8752869,0.124713145,259.2
54,Demaryius Thomas,0.8847307,0.11526927,206.4
55,DeSean Jackson,0.88539416,0.11460584,138.6
56,Adam Thielen,0.88825744,0.11174257,240.0
57,Donte Moncrief,0.8886364,0.1113636,76.80000000000001
58,Charles Sims,0.8892287,0.11077133,73.5
59,Willie Snead,0.8899053,0.110094726,15.2
60,Alvin Kamara,0.8912368,0.10876325,312.0
61,Golden Tate,0.89272565,0.10727436,222.4
62,Sterling Shepard,0.8967408,0.1032592,144.1
63,Tavon Austin,0.8999798,0.10002015,44.800000000000004
64,Will Fuller,0.9004794,0.099520646,113.0
65,Jeremy Maclin,0.9013885,0.0986115,102.0
66,Tyler Boyd,0.90187955,0.09812045,57.0
67,Stefon Diggs,0.9062855,0.09371449,198.79999999999998
68,Danny Woodhead,0.9075645,0.0924355,58.4
69,Brandon LaFell,0.90895236,0.09104767,124.8
70,Corey Coleman,0.9091763,0.09082371,65.7
71,Jamison Crowder,0.9118308,0.088169195,159.0
72,Latavius Murray,0.91245925,0.08754074,156.8
73,Carlos Hyde,0.9172263,0.08277366,233.6
74,Jimmy Graham,0.918033,0.081967026,169.6
75,Tarik Cohen,0.918832,0.08116799,144.0
76,Mike Gillislee,0.91972,0.08027998,68.39999999999999
77,Terrell Watson,0.92215335,0.077846654,0.7000000000000001
78,Marvin Jones,0.92257196,0.07742804,225.6
79,Derrick Henry,0.9274289,0.0725711,134.4
80,Lamar Miller,0.9298164,0.0701836,193.6
81,Jonathan Stewart,0.9301679,0.06983206,117.0
82,Kenny Britt,0.93111056,0.06888944,57.599999999999994
83,Darren McFadden,0.9315863,0.06841365,-0.2
84,Doug Baldwin,0.9322496,0.067750394,220.8
85,Tyler Eifert,0.9332702,0.066729814,8.6
86,Mike Williams,0.93378943,0.06621057,20.7
87,Dez Bryant,0.9348823,0.06511773,187.2
88,Justin Davis,0.9356651,0.06433491,0.1
89,Tyler Lockett,0.93574435,0.06425563,118.4
90,Rishard Matthews,0.93788743,0.062112596,156.79999999999998
91,Mike Wallace,0.9417395,0.05826048,151.5
92,Josh Gordon,0.9426839,0.05731613,57.5
93,Mohamed Sanu,0.9435072,0.056492776,174.0
94,Kenny Stills,0.9444928,0.05550717,174.4
95,T.J. Yeldon,0.9448799,0.05512011,88.0
96,Robert Woods,0.9461355,0.053864453,163.2
97,Pierre Garcon,0.9472275,0.052772507,89.6
98,Michael Floyd,0.9479154,0.05208462,18.0
99,C.J. Anderson,0.94824976,0.05175023,172.8
100,Hunter Henry,0.9486642,0.05133579,127.19999999999999
101,Kyle Rudolph,0.9493787,0.050621253,158.4
102,O.J. Howard,0.95239484,0.047605135,101.39999999999999
103,Delanie Walker,0.95245594,0.04754405,174.4
104,Greg Olsen,0.95255244,0.04744757,42.0
105,LeGarrette Blount,0.95268786,0.047312163,105.6
106,Duke Johnson,0.955023,0.04497702,216.0
107,Jamaal Charles,0.95673054,0.043269455,67.60000000000001
108,Evan Engram,0.95683545,0.04316454,174.0
109,Cooper Kupp,0.95745313,0.042546853,177.0
110,Isaiah Crowell,0.95915437,0.040845614,140.8
111,Zay Jones,0.95936704,0.040632974,70.0
112,Tyrell Williams,0.9597399,0.04026009,137.6
113,Eric Ebron,0.9597521,0.040247887,132.8
