,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
57,Ben DiNucci,DAL,24,QB,3,1,0-1-0,23,43,53.5,219,0,0,0,0,11,32,5.1,5.1,9.5,73,67.9,10.2,7,73,14,2.92,2.92,,
58,Tyrod Taylor,LAC,31,QB,2,1,1-0-0,16,30,53.3,208,0,0,0,0,10,37,6.9,6.9,13,104,75.4,16.6,2,1,6.3,6.47,6.47,1,1
59,Matt Barkley,BUF,30,QB,5,0,,11,21,52.4,197,1,4.8,1,4.8,9,56,9.4,8.2,17.9,39.4,80.9,27.4,1,7,4.5,8.64,7.5,,
61,Ryan Finley,CIN,26,QB,5,1,1-0-0,17,32,53.1,164,1,3.1,2,6.3,8,30,5.1,2.9,9.6,32.8,52.1,41.4,9,63,22,2.46,0.76,,
62,Blaine Gabbert,TAM,31,QB,4,0,,9,16,56.3,143,2,12.5,0,0,5,35,8.9,11.4,15.9,35.8,125.8,53.1,1,7,5.9,8,10.35,,
63,Taylor Heinicke,WAS,27,QB,1,0,,12,19,63.2,137,1,5.3,0,0,6,29,7.2,8.3,11.4,137,102.3,40.7,1,7,5,6.5,7.5,,
64,Brian Hoyer,NWE,35,QB,1,1,0-1-0,15,24,62.5,130,0,0,1,4.2,8,25,5.4,3.5,8.7,130,59.4,22.4,2,18,7.7,4.31,2.58,,
65,Chris Streveler,ARI,25,QB,5,0,,11,16,68.8,105,1,6.3,1,6.3,5,19,6.6,5,9.5,21,81.5,29.6,2,10,11.1,5.28,3.89,,
66,Trace McSorley,BAL,25,QB,2,0,,3,10,30,90,1,10,0,0,2,70,9,11,30,45,97.9,28.9,0,0,0,9,11,,
67,Jameis Winston,NOR,26,QB,4,0,,7,11,63.6,75,0,0,0,0,5,19,6.8,6.8,10.7,18.8,83.5,12,2,11,15.4,4.92,4.92,,
